time,x,y,z
0.001,-0.03,0.69,0.70
0.005,-0.03,0.70,0.71
0.010,-0.02,0.70,0.71
0.047,-0.01,0.70,0.71
0.047,0.01,0.70,0.72
0.048,0.03,0.70,0.72
0.048,0.04,0.69,0.72
0.049,0.06,0.69,0.72
0.049,0.08,0.69,0.73
0.050,0.09,0.69,0.75
0.050,0.10,0.70,0.78
0.056,0.10,0.71,0.81
0.059,0.11,0.71,0.84
0.066,0.11,0.71,0.86
0.069,0.12,0.71,0.88
0.074,0.12,0.70,0.88
0.082,0.12,0.69,0.88
0.084,0.11,0.68,0.85
0.089,0.10,0.69,0.83
0.094,0.09,0.69,0.80
0.100,0.08,0.70,0.78
0.104,0.07,0.70,0.75
0.109,0.07,0.70,0.72
0.116,0.08,0.70,0.70
0.118,0.08,0.70,0.68
0.123,0.09,0.71,0.66
0.163,0.10,0.70,0.66
0.164,0.12,0.70,0.65
0.164,0.12,0.69,0.66
0.165,0.11,0.69,0.67
0.165,0.10,0.69,0.69
0.166,0.09,0.70,0.70
0.166,0.09,0.69,0.71
0.167,0.09,0.68,0.73
0.168,0.10,0.68,0.74
0.173,0.11,0.68,0.74
0.182,0.12,0.68,0.75
0.183,0.12,0.68,0.76
0.188,0.12,0.68,0.76
0.192,0.12,0.69,0.77
0.199,0.13,0.69,0.77
0.202,0.13,0.70,0.78
0.207,0.14,0.70,0.77
0.226,0.14,0.70,0.77
0.227,0.15,0.69,0.76
0.227,0.16,0.69,0.75
0.230,0.16,0.69,0.74
0.266,0.16,0.69,0.73
0.266,0.16,0.69,0.72
0.267,0.16,0.69,0.72
0.267,0.15,0.69,0.71
0.268,0.14,0.69,0.71
0.268,0.12,0.69,0.71
0.269,0.11,0.68,0.71
0.269,0.10,0.68,0.71
0.342,0.10,0.68,0.71
0.343,0.09,0.68,0.71
0.343,0.10,0.68,0.71
0.344,0.10,0.68,0.71
0.344,0.10,0.68,0.71
0.345,0.11,0.68,0.72
0.345,0.12,0.69,0.72
0.346,0.12,0.69,0.72
0.346,0.14,0.69,0.73
0.347,0.15,0.70,0.74
0.347,0.16,0.71,0.75
0.348,0.17,0.71,0.76
0.348,0.18,0.71,0.76
0.349,0.18,0.71,0.76
0.349,0.18,0.70,0.76
0.350,0.17,0.70,0.75
0.359,0.17,0.70,0.74
0.360,0.16,0.70,0.73
0.362,0.15,0.69,0.72
0.369,0.15,0.69,0.72
0.371,0.15,0.69,0.72
0.375,0.15,0.69,0.71
0.417,0.14,0.69,0.71
0.418,0.14,0.69,0.72
0.418,0.14,0.69,0.72
0.418,0.15,0.69,0.72
0.419,0.15,0.70,0.72
0.419,0.14,0.69,0.72
0.420,0.14,0.70,0.71
0.420,0.14,0.70,0.72
0.421,0.15,0.71,0.71
0.425,0.15,0.71,0.72
0.432,0.16,0.71,0.72
0.435,0.17,0.71,0.72
0.440,0.17,0.71,0.72
0.479,0.17,0.70,0.72
0.480,0.17,0.70,0.73
0.481,0.16,0.70,0.73
0.481,0.16,0.70,0.73
0.481,0.16,0.70,0.74
0.482,0.16,0.70,0.74
0.482,0.16,0.70,0.74
0.483,0.16,0.69,0.75
0.484,0.15,0.69,0.74
0.489,0.14,0.69,0.74
0.499,0.13,0.69,0.74
0.500,0.13,0.69,0.73
0.504,0.13,0.69,0.73
0.509,0.13,0.69,0.72
0.515,0.14,0.69,0.72
0.519,0.15,0.69,0.71
0.524,0.16,0.69,0.71
0.562,0.17,0.69,0.71
0.563,0.17,0.70,0.71
0.563,0.17,0.70,0.71
0.564,0.17,0.70,0.72
0.564,0.17,0.70,0.73
0.565,0.17,0.70,0.73
0.565,0.18,0.70,0.74
0.566,0.18,0.70,0.74
0.568,0.18,0.69,0.74
0.573,0.17,0.69,0.74
0.582,0.17,0.69,0.75
0.583,0.17,0.70,0.75
0.588,0.17,0.70,0.75
0.593,0.17,0.70,0.74
0.603,0.16,0.69,0.73
0.604,0.16,0.69,0.72
0.608,0.16,0.69,0.71
0.615,0.16,0.69,0.70
0.618,0.16,0.69,0.69
0.622,0.15,0.69,0.69
0.662,0.15,0.69,0.69
0.663,0.14,0.69,0.70
0.664,0.14,0.69,0.70
0.664,0.14,0.68,0.70
0.665,0.14,0.68,0.71
0.665,0.14,0.67,0.72
0.665,0.14,0.67,0.72
0.666,0.13,0.67,0.73
0.667,0.14,0.68,0.73
0.672,0.15,0.68,0.72
0.677,0.17,0.67,0.71
0.683,0.18,0.66,0.71
0.687,0.19,0.65,0.71
0.692,0.19,0.65,0.70
0.698,0.20,0.65,0.69
0.702,0.19,0.65,0.68
0.707,0.18,0.64,0.67
0.715,0.17,0.64,0.67
0.717,0.15,0.63,0.66
0.721,0.14,0.62,0.67
0.726,0.12,0.61,0.67
0.767,0.10,0.60,0.67
0.767,0.08,0.59,0.67
0.768,0.07,0.58,0.67
0.768,0.06,0.57,0.67
0.769,0.06,0.55,0.68
0.769,0.06,0.54,0.68
0.770,0.05,0.53,0.68
0.774,0.05,0.52,0.67
0.775,0.04,0.50,0.67
0.776,0.03,0.49,0.66
0.782,0.03,0.48,0.66
0.786,0.03,0.47,0.66
0.791,0.03,0.45,0.66
0.798,0.02,0.44,0.65
0.801,0.01,0.43,0.65
0.805,0.00,0.42,0.66
0.810,-0.01,0.41,0.67
0.816,-0.03,0.41,0.69
0.820,-0.05,0.42,0.70
0.825,-0.07,0.43,0.71
0.861,-0.08,0.44,0.72
0.862,-0.08,0.45,0.73
0.862,-0.07,0.45,0.75
0.863,-0.06,0.45,0.76
0.863,-0.04,0.46,0.78
0.864,-0.02,0.47,0.79
0.864,0.01,0.49,0.80
0.865,0.04,0.51,0.81
0.870,0.07,0.52,0.81
0.875,0.10,0.54,0.82
0.882,0.12,0.56,0.83
0.885,0.14,0.58,0.83
0.890,0.14,0.61,0.86
0.899,0.14,0.65,0.90
0.900,0.12,0.68,0.94
0.904,0.11,0.70,0.98
0.909,0.08,0.71,1.01
0.915,0.07,0.71,1.04
0.919,0.05,0.69,1.06
0.925,0.03,0.68,1.08
0.964,0.01,0.66,1.10
0.965,-0.02,0.66,1.11
0.965,-0.04,0.65,1.11
0.966,-0.06,0.66,1.11
0.966,-0.07,0.66,1.11
0.967,-0.08,0.68,1.11
0.968,-0.07,0.69,1.11
0.968,-0.06,0.69,1.12
0.969,-0.04,0.70,1.11
0.974,-0.02,0.71,1.12
0.982,0.00,0.71,1.13
0.984,0.02,0.71,1.14
0.989,0.04,0.71,1.14
0.995,0.07,0.70,1.14
1.000,0.09,0.70,1.15
1.004,0.10,0.70,1.14
1.009,0.11,0.70,1.14
1.016,0.10,0.71,1.14
1.019,0.10,0.70,1.14
1.025,0.09,0.70,1.15
1.029,0.07,0.69,1.16
1.087,0.05,0.68,1.17
1.088,0.04,0.68,1.17
1.088,0.03,0.69,1.18
1.089,0.02,0.69,1.19
1.090,-0.00,0.69,1.19
1.093,-0.01,0.68,1.21
1.094,-0.01,0.68,1.23
1.095,-0.00,0.67,1.24
1.096,0.04,0.64,1.25
1.097,0.07,0.63,1.27
1.098,0.08,0.65,1.30
1.098,0.10,0.68,1.31
1.099,0.13,0.70,1.31
1.100,0.17,0.70,1.30
1.104,0.21,0.70,1.31
1.111,0.25,0.69,1.33
1.113,0.29,0.68,1.33
1.118,0.32,0.67,1.32
1.122,0.35,0.66,1.31
1.127,0.38,0.65,1.30
1.198,0.40,0.63,1.29
1.199,0.41,0.62,1.27
1.199,0.39,0.65,1.25
1.200,0.37,0.69,1.21
1.200,0.36,0.72,1.18
1.201,0.38,0.74,1.15
1.201,0.44,0.75,1.15
1.201,0.43,0.74,1.11
1.202,0.41,0.73,1.09
1.202,0.41,0.71,1.07
1.203,0.43,0.70,1.06
1.203,0.46,0.71,1.08
1.204,0.47,0.73,1.11
1.204,0.46,0.75,1.11
1.204,0.44,0.77,1.11
1.206,0.43,0.78,1.11
1.211,0.44,0.79,1.11
1.221,0.47,0.79,1.12
1.222,0.50,0.78,1.12
1.226,0.52,0.77,1.12
1.276,0.53,0.77,1.09
1.277,0.52,0.78,1.07
1.278,0.52,0.79,1.05
1.279,0.51,0.79,1.02
1.279,0.51,0.79,1.00
1.280,0.51,0.78,0.98
1.369,0.50,0.77,0.98
1.371,0.49,0.75,0.98
1.374,0.49,0.75,0.99
1.376,0.48,0.75,1.00
1.378,0.48,0.74,1.00
1.380,0.47,0.74,0.99
1.382,0.46,0.74,0.99
1.384,0.45,0.74,0.96
1.387,0.43,0.75,0.91
1.389,0.42,0.75,0.89
1.391,0.41,0.75,0.87
1.393,0.41,0.75,0.86
1.395,0.40,0.74,0.83
1.397,0.40,0.73,0.81
1.398,0.40,0.71,0.82
1.398,0.42,0.70,0.83
1.399,0.43,0.68,0.83
1.400,0.43,0.67,0.82
1.401,0.43,0.66,0.81
1.402,0.42,0.66,0.79
1.402,0.42,0.65,0.77
1.403,0.40,0.65,0.75
1.404,0.38,0.65,0.74
1.405,0.37,0.64,0.72
1.406,0.36,0.64,0.71
1.407,0.34,0.63,0.69
1.407,0.34,0.63,0.65
1.408,0.35,0.63,0.62
1.409,0.36,0.64,0.60
1.410,0.36,0.65,0.58
1.411,0.36,0.67,0.57
1.428,0.36,0.69,0.56
1.429,0.36,0.70,0.55
1.430,0.36,0.70,0.54
1.431,0.37,0.69,0.56
1.435,0.38,0.69,0.57
1.440,0.40,0.69,0.58
1.444,0.41,0.69,0.59
1.452,0.43,0.69,0.60
1.454,0.44,0.70,0.62
1.460,0.44,0.71,0.61
1.515,0.43,0.72,0.59
1.516,0.43,0.72,0.56
1.517,0.42,0.72,0.52
1.517,0.42,0.73,0.49
1.518,0.41,0.74,0.46
1.519,0.40,0.75,0.43
1.519,0.40,0.76,0.41
1.520,0.41,0.77,0.40
1.521,0.41,0.77,0.41
1.521,0.41,0.77,0.41
1.522,0.41,0.78,0.42
1.522,0.40,0.79,0.43
1.523,0.39,0.79,0.46
1.535,0.39,0.79,0.48
1.536,0.39,0.79,0.51
1.538,0.39,0.80,0.53
1.543,0.41,0.80,0.54
1.611,0.41,0.80,0.56
1.612,0.42,0.79,0.57
1.613,0.42,0.79,0.58
1.613,0.42,0.78,0.57
1.614,0.42,0.77,0.55
1.614,0.41,0.76,0.54
1.615,0.39,0.76,0.51
1.616,0.38,0.75,0.49
1.617,0.36,0.74,0.46
1.617,0.35,0.73,0.44
