time,x,y,z
0.916,0.11,-0.51,-1.45
0.918,0.13,-0.51,-1.43
0.924,0.14,-0.50,-1.40
1.008,0.16,-0.49,-1.39
1.009,0.18,-0.48,-1.38
1.009,0.21,-0.44,-1.39
1.010,0.25,-0.42,-1.42
1.011,0.30,-0.39,-1.41
1.012,0.33,-0.35,-1.40
1.013,0.37,-0.34,-1.38
1.014,0.42,-0.33,-1.38
1.014,0.45,-0.33,-1.30
1.015,0.48,-0.35,-1.24
1.016,0.55,-0.36,-1.18
1.017,0.58,-0.37,-1.09
1.018,0.61,-0.37,-0.96
1.018,0.63,-0.36,-0.83
1.019,0.66,-0.35,-0.69
1.020,0.67,-0.34,-0.57
1.021,0.67,-0.31,-0.49
1.021,0.62,-0.29,-0.43
1.022,0.52,-0.26,-0.44
1.023,0.46,-0.23,-0.45
1.034,0.42,-0.23,-0.50
1.035,0.37,-0.22,-0.54
1.037,0.31,-0.13,-0.60
1.105,0.32,-0.10,-0.53
1.106,0.37,-0.09,-0.49
1.108,0.43,-0.05,-0.46
1.109,0.48,-0.00,-0.46
1.111,0.50,0.05,-0.40
1.115,0.55,0.06,-0.36
1.116,0.60,0.07,-0.29
1.117,0.63,0.09,-0.23
1.118,0.61,0.09,-0.16
1.118,0.55,0.10,-0.11
1.119,0.52,0.08,0.00
1.120,0.50,0.06,0.07
1.121,0.47,0.06,0.14
1.122,0.43,0.07,0.17
1.123,0.37,0.08,0.20
1.124,0.30,0.09,0.20
1.125,0.25,0.09,0.21
1.126,0.23,0.09,0.20
1.267,0.20,0.09,0.17
1.269,0.18,0.11,0.14
1.270,0.19,0.14,0.15
1.271,0.22,0.16,0.11
1.271,0.24,0.18,0.13
1.272,0.28,0.19,0.14
1.273,0.31,0.21,0.15
1.273,0.34,0.22,0.14
1.274,0.38,0.23,0.17
1.275,0.44,0.24,0.18
1.275,0.42,0.22,0.25
1.277,0.36,0.19,0.32
1.284,0.29,0.15,0.40
1.285,0.23,0.09,0.49
1.286,0.19,0.04,0.58
1.287,0.15,0.01,0.67
1.287,0.13,-0.00,0.76
1.288,0.15,-0.01,0.86
1.289,0.16,0.01,0.87
1.289,0.18,0.03,0.90
1.290,0.21,0.04,0.97
1.291,0.22,0.05,0.98
1.291,0.23,0.06,0.98
1.292,0.29,0.07,0.99
1.293,0.36,0.08,1.07
1.294,0.34,0.14,1.15
1.295,0.38,0.23,1.10
1.296,0.49,0.29,1.19
1.296,0.53,0.31,1.37
1.297,0.53,0.30,1.49
1.298,0.54,0.29,1.63
1.299,0.54,0.33,1.73
1.300,0.58,0.34,1.81
1.301,0.63,0.34,1.82
1.308,0.68,0.36,1.83
1.309,0.76,0.38,1.79
1.310,0.80,0.43,1.73
1.323,0.84,0.45,1.70
1.324,0.91,0.45,1.76
1.325,1.01,0.45,1.83
1.427,1.14,0.44,1.89
1.428,1.24,0.42,1.93
1.429,1.31,0.36,2.00
1.430,1.29,0.37,2.00
1.432,1.16,0.53,2.00
1.432,1.08,0.61,2.00
1.433,0.99,0.59,2.00
1.433,0.93,0.53,2.00
1.434,0.86,0.48,1.98
1.435,0.79,0.49,1.93
1.435,0.75,0.51,1.88
1.436,0.70,0.52,1.79
1.437,0.67,0.51,1.71
1.438,0.65,0.48,1.66
1.439,0.64,0.44,1.61
1.439,0.62,0.42,1.59
1.440,0.60,0.42,1.54
1.441,0.55,0.45,1.46
1.442,0.47,0.49,1.38
1.443,0.40,0.51,1.36
1.444,0.36,0.50,1.31
1.445,0.34,0.49,1.23
1.445,0.33,0.47,1.18
1.446,0.33,0.46,1.14
1.447,0.29,0.44,1.09
1.452,0.28,0.43,1.00
1.457,0.21,0.45,0.91
1.465,0.18,0.38,0.84
1.467,0.17,0.31,0.78
1.472,0.17,0.24,0.74
1.566,0.16,0.21,0.70
1.567,0.13,0.23,0.61
1.568,0.15,0.22,0.52
1.569,0.21,0.13,0.44
1.569,0.21,0.11,0.36
1.570,0.24,0.14,0.24
1.571,0.25,0.14,0.10
1.573,0.26,0.17,-0.04
1.574,0.25,0.18,-0.14
1.575,0.25,0.20,-0.25
1.576,0.25,0.23,-0.37
1.577,0.22,0.23,-0.51
1.578,0.21,0.20,-0.61
1.579,0.15,0.21,-0.66
1.580,0.06,0.26,-0.58
1.582,0.04,0.28,-0.49
1.583,0.03,0.25,-0.41
1.584,0.03,0.19,-0.37
1.585,0.05,0.13,-0.33
