time,x,y,z
0.001,-0.13,0.76,0.56
0.001,-0.16,0.77,0.56
0.002,-0.12,0.74,0.55
0.002,-0.12,0.73,0.62
0.003,-0.13,0.72,0.65
0.003,-0.13,0.72,0.64
0.004,-0.13,0.71,0.68
0.009,-0.10,0.72,0.74
0.013,-0.06,0.72,0.80
0.021,-0.04,0.73,0.86
0.023,-0.02,0.72,0.85
0.028,-0.00,0.73,0.85
0.074,-0.01,0.73,0.82
0.075,-0.02,0.74,0.80
0.075,-0.04,0.75,0.78
0.076,-0.06,0.75,0.76
0.076,-0.06,0.76,0.74
0.077,-0.06,0.76,0.73
0.077,-0.06,0.75,0.74
0.078,-0.06,0.75,0.72
0.078,-0.07,0.73,0.72
0.079,-0.07,0.73,0.71
0.082,-0.08,0.74,0.72
0.087,-0.09,0.73,0.69
0.095,-0.10,0.74,0.69
0.097,-0.10,0.74,0.67
0.103,-0.10,0.73,0.68
0.111,-0.10,0.73,0.67
0.112,-0.09,0.72,0.66
0.126,-0.09,0.72,0.66
0.127,-0.09,0.73,0.66
0.127,-0.08,0.72,0.67
0.131,-0.09,0.73,0.66
0.178,-0.08,0.73,0.66
0.178,-0.07,0.73,0.65
0.179,-0.07,0.73,0.63
0.179,-0.06,0.73,0.65
0.180,-0.06,0.74,0.63
0.180,-0.07,0.74,0.66
0.181,-0.06,0.75,0.64
0.181,-0.06,0.75,0.65
0.182,-0.07,0.77,0.64
0.183,-0.09,0.78,0.66
0.189,-0.08,0.79,0.67
0.191,-0.09,0.81,0.67
0.197,-0.10,0.82,0.65
0.209,-0.11,0.83,0.65
0.211,-0.11,0.84,0.64
0.211,-0.10,0.84,0.62
0.215,-0.12,0.84,0.61
0.221,-0.13,0.83,0.63
0.225,-0.13,0.81,0.64
0.230,-0.14,0.79,0.66
0.274,-0.14,0.76,0.64
0.274,-0.09,0.64,0.68
0.275,-0.15,0.66,0.64
0.275,-0.16,0.72,0.62
0.276,-0.14,0.76,0.63
0.276,-0.14,0.81,0.69
0.277,-0.11,0.83,0.87
0.277,-0.15,0.80,0.92
0.277,-0.20,0.73,0.91
0.280,-0.23,0.60,0.93
0.287,-0.22,0.46,0.98
0.290,-0.20,0.34,1.07
0.295,-0.18,0.25,1.19
0.303,-0.20,0.20,1.28
0.305,-0.30,0.16,1.34
0.309,-0.42,0.11,1.42
0.314,-0.59,0.12,1.58
0.321,-0.79,0.18,1.63
0.324,-0.96,0.16,1.69
0.329,-1.07,-0.03,1.78
0.372,-1.07,-0.26,2.00
0.373,-1.04,-0.39,2.00
0.374,-1.02,-0.51,2.00
0.374,-1.01,-0.65,2.00
0.375,-0.99,-0.75,2.00
0.375,-0.93,-0.83,2.00
0.376,-0.92,-0.88,2.00
0.376,-0.92,-0.87,2.00
0.377,-0.95,-0.85,2.00
0.378,-0.96,-0.84,2.00
0.387,-0.87,-0.81,2.00
0.389,-0.86,-0.83,2.00
0.393,-0.90,-0.85,2.00
0.398,-0.82,-0.87,2.00
0.404,-0.72,-0.55,2.00
0.408,-0.69,-0.71,2.00
0.413,-0.66,-1.02,2.00
0.420,-0.64,-1.19,2.00
0.423,-0.58,-1.28,2.00
0.428,-0.51,-1.31,2.00
0.480,-0.43,-1.32,2.00
0.480,-0.34,-1.33,2.00
0.481,-0.25,-1.39,2.00
0.481,-0.18,-1.46,2.00
0.482,-0.11,-1.52,2.00
0.482,-0.03,-1.59,2.00
0.483,0.06,-1.70,2.00
0.483,0.17,-1.81,2.00
0.484,0.29,-1.87,2.00
0.484,0.43,-1.94,2.00
0.485,0.58,-2.00,2.00
0.490,0.73,-2.00,2.00
0.492,0.87,-2.00,1.99
0.498,1.02,-2.00,1.75
0.505,1.21,-2.00,1.55
0.508,1.33,-2.00,1.40
0.513,1.40,-2.00,1.24
0.520,1.47,-2.00,1.08
0.523,1.55,-2.00,0.92
0.528,1.63,-2.00,0.80
0.570,1.72,-2.00,0.68
0.571,1.79,-2.00,0.61
0.571,1.84,-2.00,0.55
0.574,1.84,-2.00,0.51
0.575,1.82,-2.00,0.42
0.575,1.80,-2.00,0.35
0.575,1.79,-2.00,0.23
0.576,1.77,-2.00,0.11
