time,x,y,z
0.001,-0.40,0.69,0.53
0.011,-0.41,0.70,0.54
0.011,-0.41,0.72,0.57
0.016,-0.40,0.73,0.60
0.021,-0.40,0.74,0.63
0.026,-0.40,0.72,0.63
0.030,-0.39,0.71,0.65
0.035,-0.39,0.71,0.61
0.082,-0.39,0.71,0.62
0.082,-0.38,0.71,0.64
0.083,-0.38,0.72,0.67
0.083,-0.37,0.72,0.65
0.084,-0.35,0.72,0.63
0.084,-0.32,0.71,0.64
0.085,-0.29,0.69,0.64
0.086,-0.25,0.66,0.66
0.086,-0.25,0.60,0.75
0.087,-0.23,0.56,0.83
0.093,-0.25,0.54,0.90
0.096,-0.24,0.54,1.03
0.100,-0.24,0.50,1.01
0.105,-0.21,0.43,0.86
0.110,-0.18,0.40,0.82
0.115,-0.18,0.41,0.94
0.119,-0.19,0.46,0.99
0.126,-0.22,0.52,0.91
0.130,-0.22,0.56,0.84
0.134,-0.21,0.56,0.82
0.181,-0.19,0.57,0.82
0.181,-0.15,0.61,0.81
0.182,-0.13,0.67,0.76
0.182,-0.11,0.72,0.70
0.183,-0.10,0.73,0.66
0.183,-0.11,0.74,0.65
0.184,-0.15,0.74,0.62
0.184,-0.21,0.67,0.63
0.185,-0.29,0.66,0.71
0.185,-0.37,0.66,0.75
0.193,-0.41,0.66,0.82
0.194,-0.40,0.63,0.91
0.199,-0.36,0.60,1.02
0.204,-0.29,0.60,1.11
0.210,-0.25,0.65,1.16
0.213,-0.24,0.62,1.14
0.218,-0.24,0.57,1.13
0.227,-0.24,0.53,1.13
0.228,-0.26,0.51,1.13
0.233,-0.28,0.51,1.07
0.238,-0.31,0.50,1.03
0.286,-0.36,0.51,1.04
0.286,-0.39,0.53,1.00
0.287,-0.43,0.52,1.01
0.288,-0.45,0.49,1.01
0.288,-0.51,0.48,1.03
0.289,-0.57,0.47,1.07
0.290,-0.63,0.41,1.06
0.290,-0.69,0.41,1.14
0.291,-0.72,0.39,1.20
0.291,-0.71,0.41,1.34
0.297,-0.68,0.41,1.44
0.298,-0.67,0.44,1.50
0.302,-0.65,0.47,1.49
0.310,-0.62,0.47,1.46
0.312,-0.60,0.46,1.38
0.317,-0.57,0.41,1.36
0.323,-0.53,0.35,1.44
0.328,-0.48,0.25,1.49
0.332,-0.46,0.19,1.60
0.337,-0.47,0.12,1.70
0.379,-0.52,0.07,1.77
0.380,-0.52,0.03,1.85
0.381,-0.55,-0.02,1.88
0.381,-0.57,-0.08,1.85
0.382,-0.59,-0.17,1.90
0.383,-0.62,-0.25,1.95
0.383,-0.67,-0.30,1.98
0.384,-0.75,-0.33,2.00
0.384,-0.81,-0.37,1.98
0.386,-0.86,-0.40,1.94
0.394,-0.88,-0.43,1.92
0.396,-0.87,-0.45,1.92
0.401,-0.85,-0.45,1.98
0.410,-0.84,-0.48,2.00
0.416,-0.80,-0.47,2.00
0.417,-0.79,-0.51,2.00
0.421,-0.80,-0.60,2.00
0.426,-0.80,-0.73,2.00
0.431,-0.84,-0.94,2.00
0.436,-0.79,-1.17,2.00
0.483,-0.67,-1.26,2.00
0.484,-0.62,-1.19,2.00
0.484,-0.55,-1.05,2.00
0.484,-0.46,-1.10,2.00
0.485,-0.38,-1.19,2.00
0.486,-0.29,-1.32,2.00
0.486,-0.24,-1.37,2.00
0.487,-0.23,-1.41,2.00
0.487,-0.20,-1.50,2.00
0.489,-0.13,-1.61,2.00
0.495,-0.03,-1.73,2.00
0.495,0.06,-1.81,2.00
0.500,0.21,-1.85,2.00
0.510,0.34,-1.83,2.00
0.512,0.55,-1.96,1.89
0.515,0.77,-2.00,1.79
0.520,0.90,-2.00,1.67
0.526,1.02,-2.00,1.55
0.530,1.14,-2.00,1.45
0.535,1.21,-2.00,1.38
0.614,1.29,-2.00,1.28
0.615,1.35,-2.00,1.18
0.616,1.41,-2.00,1.09
0.616,1.47,-2.00,1.01
0.617,1.47,-2.00,0.94
0.617,1.49,-2.00,0.90
0.618,1.52,-2.00,0.84
0.619,1.61,-2.00,0.74
0.619,1.72,-2.00,0.61
0.620,1.85,-2.00,0.43
0.621,1.99,-2.00,0.23
0.621,2.00,-2.00,0.01
0.622,2.00,-2.00,-0.26
0.623,2.00,-2.00,-0.52
0.624,2.00,-1.89,-0.79
0.625,2.00,-1.70,-1.08
0.626,2.00,-1.49,-1.35
0.626,2.00,-1.35,-1.59
0.635,2.00,-1.22,-1.75
0.637,2.00,-1.08,-1.89
0.679,2.00,-0.98,-1.96
0.680,2.00,-0.87,-2.00
0.680,2.00,-0.79,-2.00
0.681,2.00,-0.75,-2.00
0.681,1.99,-0.74,-2.00
0.682,1.94,-0.71,-2.00
0.682,1.94,-0.69,-2.00
0.683,1.98,-0.71,-2.00
0.684,2.00,-0.76,-2.00
0.684,2.00,-0.79,-2.00
0.694,2.00,-0.79,-2.00
0.694,2.00,-0.81,-2.00
0.698,2.00,-0.85,-2.00
0.703,2.00,-0.85,-2.00
0.709,2.00,-0.83,-2.00
0.713,2.00,-0.82,-2.00
0.718,2.00,-0.75,-2.00
0.727,2.00,-0.75,-2.00
0.728,2.00,-0.72,-2.00
0.733,2.00,-0.70,-2.00
0.778,2.00,-0.68,-2.00
0.779,2.00,-0.68,-2.00
0.779,2.00,-0.69,-2.00
0.780,2.00,-0.70,-2.00
0.780,2.00,-0.76,-2.00
0.781,2.00,-0.84,-2.00
0.781,2.00,-0.92,-2.00
0.781,2.00,-1.02,-2.00
0.782,2.00,-1.13,-2.00
0.783,2.00,-1.24,-2.00
0.787,2.00,-1.37,-2.00
0.794,2.00,-1.51,-2.00
0.797,2.00,-1.63,-2.00
0.802,2.00,-1.75,-2.00
0.810,2.00,-1.84,-1.99
0.812,2.00,-1.95,-1.79
0.817,2.00,-2.00,-1.57
0.826,2.00,-2.00,-1.42
0.827,2.00,-2.00,-1.28
0.832,2.00,-2.00,-1.16
0.837,2.00,-2.00,-1.05
0.879,2.00,-2.00,-0.94
0.880,2.00,-2.00,-0.81
0.881,2.00,-2.00,-0.70
0.881,2.00,-2.00,-0.58
0.882,2.00,-2.00,-0.48
0.882,2.00,-2.00,-0.37
0.883,2.00,-2.00,-0.26
0.884,2.00,-2.00,-0.13
0.884,2.00,-2.00,0.03
0.887,2.00,-2.00,0.24
0.893,2.00,-2.00,0.39
0.896,2.00,-2.00,0.56
0.901,2.00,-2.00,0.72
0.941,2.00,-2.00,0.87
0.941,2.00,-2.00,0.99
0.942,1.95,-2.00,1.14
0.943,1.91,-2.00,1.25
0.943,1.88,-2.00,1.33
0.944,1.88,-2.00,1.36
0.944,1.91,-2.00,1.30
0.945,1.93,-2.00,1.25
0.946,1.93,-2.00,1.24
0.954,1.94,-2.00,1.36
0.955,1.93,-2.00,1.53
0.960,1.93,-2.00,1.76
0.970,1.90,-2.00,1.95
0.971,1.80,-2.00,2.00
0.977,1.64,-2.00,2.00
0.980,1.38,-2.00,2.00
0.985,1.05,-2.00,2.00
1.025,0.66,-2.00,2.00
1.026,0.26,-2.00,2.00
1.027,-0.11,-2.00,2.00
1.027,-0.39,-2.00,2.00
1.028,-0.70,-2.00,2.00
1.028,-0.85,-2.00,2.00
1.028,-0.95,-2.00,2.00
1.029,-1.05,-2.00,2.00
1.030,-1.08,-1.99,2.00
1.034,-1.10,-1.84,2.00
1.042,-1.12,-1.70,2.00
1.044,-1.18,-1.55,2.00
1.049,-1.24,-1.40,2.00
1.054,-1.28,-1.27,2.00
1.094,-1.32,-1.12,2.00
1.095,-1.33,-0.99,2.00
1.096,-1.29,-0.86,2.00
1.096,-1.24,-0.78,2.00
1.097,-1.18,-0.67,2.00
1.097,-1.11,-0.60,2.00
1.098,-1.08,-0.54,2.00
1.099,-1.03,-0.50,2.00
1.099,-1.01,-0.49,2.00
1.103,-1.00,-0.49,2.00
1.111,-0.99,-0.51,2.00
1.113,-0.97,-0.55,2.00
1.118,-0.95,-0.59,2.00
1.126,-0.91,-0.67,2.00
1.128,-0.86,-0.72,2.00
1.133,-0.81,-0.79,2.00
1.183,-0.71,-0.88,2.00
1.183,-0.59,-0.96,2.00
1.184,-0.46,-1.05,2.00
1.184,-0.31,-1.13,2.00
1.185,-0.14,-1.22,2.00
1.185,0.01,-1.33,2.00
1.186,0.12,-1.41,2.00
1.186,0.21,-1.50,2.00
1.187,0.28,-1.59,2.00
1.187,0.34,-1.70,2.00
1.188,0.40,-1.84,2.00
1.194,0.46,-1.98,2.00
1.197,0.53,-2.00,2.00
1.202,0.61,-2.00,2.00
1.213,0.70,-2.00,2.00
1.213,0.76,-2.00,2.00
1.217,0.86,-2.00,2.00
1.226,0.97,-2.00,2.00
1.227,1.10,-2.00,2.00
1.232,1.24,-2.00,2.00
1.237,1.39,-2.00,2.00
1.281,1.54,-2.00,2.00
1.282,1.70,-2.00,2.00
1.283,1.85,-2.00,2.00
1.283,2.00,-2.00,1.94
1.284,2.00,-2.00,1.86
1.284,2.00,-2.00,1.80
1.285,2.00,-2.00,1.70
1.285,2.00,-2.00,1.62
1.286,2.00,-2.00,1.47
1.287,2.00,-2.00,1.39
1.293,2.00,-2.00,1.25
1.296,2.00,-2.00,1.06
1.301,2.00,-2.00,0.88
1.308,2.00,-2.00,0.65
1.311,2.00,-2.00,0.39
1.316,2.00,-2.00,0.12
1.325,2.00,-2.00,-0.13
1.326,2.00,-2.00,-0.35
1.331,2.00,-2.00,-0.72
1.336,2.00,-2.00,-1.04
1.376,2.00,-2.00,-1.45
1.377,2.00,-2.00,-1.80
1.378,2.00,-2.00,-2.00
1.378,2.00,-2.00,-2.00
1.379,2.00,-2.00,-2.00
1.379,2.00,-2.00,-2.00
1.380,2.00,-2.00,-2.00
1.380,2.00,-2.00,-2.00
1.380,2.00,-2.00,-2.00
1.385,1.90,-2.00,-2.00
1.393,1.83,-2.00,-2.00
1.395,1.77,-2.00,-2.00
1.429,1.75,-2.00,-1.95
1.429,1.73,-2.00,-2.00
1.430,1.69,-2.00,-2.00
1.431,1.65,-2.00,-2.00
1.431,1.65,-2.00,-2.00
1.432,1.70,-2.00,-2.00
1.432,1.77,-2.00,-2.00
1.441,1.86,-2.00,-2.00
1.442,1.95,-2.00,-2.00
1.444,2.00,-2.00,-2.00
1.449,2.00,-2.00,-2.00
1.460,2.00,-1.76,-2.00
1.461,1.93,-1.59,-2.00
1.464,1.91,-1.48,-2.00
1.469,1.94,-1.37,-2.00
1.514,1.99,-1.28,-2.00
1.515,1.96,-1.18,-2.00
1.515,1.99,-1.12,-2.00
1.516,2.00,-1.11,-2.00
1.516,1.99,-1.10,-2.00
1.517,2.00,-1.12,-2.00
1.517,2.00,-1.18,-2.00
1.518,2.00,-1.26,-2.00
1.519,2.00,-1.35,-2.00
1.519,2.00,-1.44,-2.00
1.525,2.00,-1.55,-2.00
1.528,2.00,-1.64,-2.00
1.533,2.00,-1.74,-2.00
1.543,2.00,-1.86,-2.00
1.544,2.00,-1.97,-2.00
1.548,2.00,-2.00,-2.00
1.553,2.00,-2.00,-1.90
1.559,2.00,-2.00,-1.74
1.563,2.00,-2.00,-1.63
1.568,2.00,-2.00,-1.48
1.613,2.00,-2.00,-1.35
1.613,2.00,-2.00,-1.20
1.614,2.00,-2.00,-1.07
1.614,2.00,-2.00,-0.93
1.615,2.00,-2.00,-0.79
1.615,2.00,-2.00,-0.63
1.616,2.00,-2.00,-0.45
1.617,2.00,-2.00,-0.30
1.618,2.00,-2.00,-0.16
1.618,2.00,-2.00,-0.03
1.625,2.00,-2.00,0.07
1.627,2.00,-2.00,0.17
1.632,2.00,-2.00,0.23
1.643,2.00,-2.00,0.29
1.643,2.00,-2.00,0.38
1.647,2.00,-2.00,0.46
1.652,2.00,-2.00,0.55
1.658,2.00,-2.00,0.69
1.662,1.94,-2.00,0.76
1.667,1.87,-2.00,0.87
1.712,1.82,-2.00,0.99
1.713,1.76,-2.00,1.09
1.713,1.73,-2.00,1.18
1.714,1.71,-2.00,1.23
1.714,1.71,-2.00,1.30
1.715,1.70,-2.00,1.39
1.715,1.68,-2.00,1.47
1.716,1.69,-2.00,1.49
1.716,1.67,-2.00,1.50
1.717,1.66,-2.00,1.50
1.725,1.64,-2.00,1.48
1.726,1.61,-2.00,1.42
1.731,1.52,-2.00,1.41
1.736,1.40,-2.00,1.50
1.741,1.23,-2.00,1.68
1.746,1.02,-2.00,2.00
1.751,0.76,-2.00,2.00
1.792,0.49,-2.00,2.00
1.793,0.24,-2.00,2.00
1.794,-0.03,-2.00,2.00
1.794,-0.26,-2.00,2.00
1.795,-0.44,-2.00,2.00
1.795,-0.59,-2.00,2.00
1.795,-0.69,-2.00,2.00
1.796,-0.76,-2.00,2.00
1.796,-0.80,-2.00,2.00
1.800,-0.84,-2.00,2.00
1.808,-0.84,-2.00,2.00
1.810,-0.88,-2.00,2.00
1.815,-0.92,-1.98,2.00
1.825,-0.94,-1.97,2.00
1.826,-1.02,-1.90,2.00
1.830,-1.05,-1.85,2.00
1.835,-1.09,-1.78,2.00
1.842,-1.15,-1.75,2.00
1.845,-1.21,-1.66,2.00
1.850,-1.26,-1.60,2.00
1.863,-1.28,-1.55,2.00
1.863,-1.30,-1.54,2.00
1.864,-1.30,-1.55,2.00
1.909,-1.33,-1.54,2.00
1.909,-1.33,-1.56,2.00
1.910,-1.30,-1.62,2.00
1.910,-1.25,-1.71,2.00
1.911,-1.15,-1.78,2.00
1.915,-1.02,-1.86,2.00
1.915,-0.82,-1.94,2.00
1.916,-0.60,-2.00,2.00
1.916,-0.39,-2.00,2.00
1.917,-0.17,-2.00,2.00
1.919,0.04,-2.00,2.00
1.925,0.22,-2.00,2.00
1.929,0.37,-2.00,2.00
1.934,0.52,-2.00,2.00
1.943,0.65,-2.00,2.00
1.944,0.76,-2.00,2.00
1.948,0.84,-2.00,2.00
1.958,0.88,-2.00,2.00
1.959,0.89,-2.00,2.00
1.964,0.91,-2.00,2.00
1.968,0.92,-2.00,2.00
2.018,0.95,-2.00,2.00
2.018,0.99,-2.00,2.00
2.019,1.07,-2.00,1.96
2.020,1.17,-2.00,1.75
2.021,1.28,-2.00,1.59
2.021,1.41,-2.00,1.49
2.022,1.55,-2.00,1.40
2.022,1.72,-2.00,1.33
2.023,1.89,-2.00,1.28
2.023,2.00,-2.00,1.21
2.024,2.00,-2.00,1.11
2.030,2.00,-2.00,1.03
2.033,2.00,-2.00,0.93
2.040,2.00,-2.00,0.83
2.043,2.00,-2.00,0.67
2.048,2.00,-2.00,0.51
2.057,2.00,-2.00,0.32
2.058,2.00,-2.00,0.12
2.063,2.00,-2.00,-0.11
2.068,2.00,-2.00,-0.34
2.110,2.00,-2.00,-0.61
2.111,1.96,-2.00,-0.84
2.112,1.97,-2.00,-1.07
2.112,2.00,-2.00,-1.31
2.113,2.00,-2.00,-1.53
2.113,2.00,-2.00,-1.69
2.114,2.00,-2.00,-1.85
2.114,2.00,-2.00,-2.00
2.115,2.00,-2.00,-2.00
2.117,2.00,-2.00,-2.00
2.124,2.00,-2.00,-2.00
2.127,2.00,-2.00,-2.00
2.132,2.00,-2.00,-2.00
2.141,2.00,-2.00,-2.00
2.142,2.00,-2.00,-2.00
2.147,2.00,-1.98,-2.00
2.151,2.00,-2.00,-2.00
2.157,1.98,-2.00,-2.00
