time,x,y,z
0.001,0.09,0.79,0.59
0.005,0.09,0.79,0.60
0.011,0.10,0.79,0.60
0.063,0.10,0.78,0.59
0.064,0.10,0.78,0.59
0.065,0.10,0.78,0.60
0.065,0.10,0.79,0.60
0.066,0.10,0.79,0.60
0.067,0.10,0.78,0.61
0.067,0.12,0.78,0.64
0.068,0.14,0.77,0.66
0.069,0.15,0.77,0.67
0.070,0.16,0.77,0.69
0.070,0.15,0.78,0.70
0.071,0.15,0.78,0.71
0.081,0.15,0.78,0.72
0.082,0.15,0.77,0.72
0.085,0.14,0.77,0.71
0.090,0.14,0.76,0.70
0.095,0.13,0.76,0.69
0.103,0.12,0.77,0.67
0.105,0.11,0.77,0.67
0.110,0.10,0.77,0.67
0.163,0.10,0.77,0.67
0.164,0.09,0.77,0.67
0.165,0.09,0.77,0.67
0.166,0.09,0.77,0.66
0.166,0.09,0.77,0.65
0.167,0.10,0.77,0.65
0.168,0.10,0.77,0.64
0.169,0.10,0.77,0.63
0.169,0.11,0.77,0.63
0.170,0.12,0.77,0.63
0.170,0.12,0.77,0.63
0.171,0.12,0.77,0.63
0.173,0.12,0.77,0.62
0.179,0.13,0.77,0.62
0.187,0.13,0.77,0.63
0.189,0.14,0.77,0.64
0.194,0.14,0.77,0.64
0.245,0.13,0.77,0.64
0.246,0.12,0.77,0.64
0.247,0.11,0.77,0.65
0.248,0.11,0.77,0.64
0.249,0.12,0.77,0.63
0.249,0.12,0.77,0.64
0.250,0.13,0.77,0.64
0.251,0.13,0.77,0.64
0.251,0.14,0.76,0.64
0.252,0.14,0.76,0.64
0.253,0.14,0.76,0.64
0.254,0.13,0.76,0.64
0.259,0.12,0.76,0.64
0.268,0.12,0.77,0.64
0.269,0.11,0.76,0.65
0.272,0.11,0.76,0.65
0.277,0.11,0.76,0.65
0.329,0.12,0.75,0.65
0.331,0.13,0.75,0.65
0.332,0.13,0.75,0.65
0.332,0.14,0.76,0.65
0.333,0.13,0.77,0.65
0.334,0.12,0.77,0.66
0.335,0.13,0.77,0.67
0.335,0.13,0.77,0.67
0.336,0.14,0.76,0.67
0.337,0.14,0.76,0.66
0.338,0.14,0.77,0.65
0.339,0.13,0.77,0.64
0.342,0.13,0.77,0.64
0.351,0.12,0.78,0.64
0.352,0.12,0.78,0.65
0.357,0.12,0.78,0.65
0.361,0.13,0.77,0.65
0.368,0.12,0.76,0.65
0.372,0.12,0.76,0.64
0.377,0.11,0.77,0.63
0.431,0.11,0.77,0.63
0.432,0.11,0.77,0.62
0.433,0.10,0.77,0.62
0.433,0.10,0.77,0.62
0.434,0.10,0.77,0.62
0.435,0.11,0.77,0.63
0.436,0.12,0.77,0.64
0.436,0.13,0.77,0.66
0.437,0.14,0.77,0.68
0.438,0.14,0.77,0.69
0.438,0.14,0.76,0.70
0.439,0.13,0.76,0.70
0.441,0.12,0.76,0.69
0.452,0.11,0.76,0.68
0.453,0.11,0.76,0.67
0.456,0.10,0.76,0.66
0.462,0.10,0.76,0.66
0.471,0.09,0.76,0.65
0.472,0.08,0.76,0.65
0.476,0.08,0.76,0.65
0.549,0.07,0.76,0.65
0.550,0.06,0.76,0.65
0.550,0.05,0.76,0.65
0.551,0.04,0.76,0.66
0.552,0.02,0.76,0.66
0.553,0.01,0.76,0.67
0.553,-0.01,0.76,0.68
0.554,-0.03,0.76,0.68
0.562,-0.06,0.75,0.69
0.563,-0.08,0.76,0.71
0.564,-0.11,0.75,0.72
0.564,-0.14,0.73,0.73
0.565,-0.18,0.71,0.72
0.566,-0.21,0.71,0.72
0.566,-0.21,0.71,0.72
0.567,-0.24,0.71,0.72
0.568,-0.27,0.70,0.75
0.568,-0.29,0.68,0.77
0.569,-0.30,0.65,0.80
0.578,-0.32,0.64,0.82
0.579,-0.33,0.63,0.85
0.634,-0.34,0.64,0.87
0.635,-0.35,0.64,0.89
0.635,-0.36,0.64,0.91
0.636,-0.37,0.63,0.92
0.636,-0.37,0.63,0.94
0.637,-0.37,0.64,0.95
0.638,-0.37,0.64,0.95
0.638,-0.36,0.65,0.94
0.639,-0.35,0.66,0.94
0.640,-0.33,0.67,0.93
0.640,-0.30,0.67,0.92
0.641,-0.27,0.68,0.93
0.644,-0.24,0.69,0.93
0.651,-0.20,0.70,0.94
0.654,-0.16,0.71,0.94
0.659,-0.13,0.73,0.93
0.668,-0.10,0.74,0.92
0.669,-0.07,0.74,0.91
0.673,-0.05,0.75,0.90
0.679,-0.04,0.75,0.89
0.740,-0.04,0.76,0.87
0.741,-0.04,0.77,0.86
0.742,-0.03,0.79,0.85
0.742,-0.02,0.80,0.85
0.743,-0.01,0.80,0.87
0.744,0.00,0.80,0.89
0.744,0.01,0.80,0.91
0.745,0.02,0.81,0.94
0.746,0.02,0.80,0.96
0.747,0.02,0.80,0.98
0.747,0.02,0.80,0.99
0.748,0.04,0.79,0.99
0.748,0.04,0.79,0.99
0.749,0.06,0.78,0.99
0.752,0.08,0.78,0.98
0.760,0.09,0.77,0.96
0.769,0.10,0.76,0.95
0.770,0.10,0.76,0.94
0.772,0.10,0.75,0.93
0.777,0.10,0.74,0.91
0.827,0.10,0.73,0.90
0.829,0.10,0.72,0.89
0.830,0.10,0.71,0.89
0.831,0.10,0.70,0.89
0.832,0.10,0.69,0.89
0.832,0.10,0.68,0.89
0.833,0.10,0.66,0.89
0.833,0.11,0.65,0.89
0.834,0.11,0.63,0.89
0.835,0.12,0.61,0.90
0.835,0.12,0.60,0.90
0.836,0.13,0.59,0.90
0.843,0.13,0.58,0.89
0.853,0.13,0.56,0.89
0.854,0.14,0.55,0.88
0.856,0.15,0.54,0.88
0.861,0.17,0.54,0.88
0.870,0.19,0.53,0.89
0.871,0.22,0.53,0.89
0.876,0.25,0.53,0.90
0.962,0.27,0.53,0.90
0.964,0.28,0.52,0.89
0.965,0.29,0.51,0.88
0.966,0.30,0.51,0.88
0.966,0.31,0.51,0.86
0.967,0.31,0.51,0.83
0.968,0.32,0.51,0.80
0.969,0.34,0.51,0.78
0.970,0.35,0.52,0.75
0.971,0.37,0.52,0.73
0.971,0.40,0.52,0.70
0.972,0.44,0.52,0.64
0.973,0.44,0.52,0.64
0.974,0.46,0.52,0.61
0.975,0.47,0.53,0.60
0.976,0.48,0.53,0.59
0.976,0.48,0.54,0.58
0.978,0.49,0.54,0.58
0.979,0.49,0.55,0.58
0.980,0.49,0.56,0.58
0.980,0.48,0.55,0.58
0.987,0.46,0.55,0.58
0.990,0.44,0.55,0.59
1.047,0.42,0.54,0.59
1.049,0.42,0.54,0.59
1.049,0.42,0.53,0.58
1.050,0.42,0.53,0.57
1.130,0.42,0.53,0.57
1.131,0.40,0.53,0.56
1.132,0.40,0.54,0.56
1.133,0.41,0.54,0.55
