time,x,y,z
0.001,-0.05,0.82,0.62
0.005,-0.03,0.83,0.61
0.011,-0.01,0.83,0.63
0.015,0.01,0.83,0.64
0.020,0.03,0.82,0.63
0.027,0.03,0.82,0.66
0.030,0.03,0.82,0.65
0.034,0.03,0.82,0.64
0.039,0.03,0.83,0.65
0.044,0.03,0.81,0.63
0.049,0.04,0.81,0.63
0.055,0.03,0.81,0.63
0.088,0.02,0.80,0.63
0.089,0.02,0.82,0.62
0.090,0.03,0.82,0.61
0.090,0.02,0.82,0.63
0.091,0.01,0.83,0.61
0.091,0.02,0.82,0.59
0.092,0.02,0.82,0.59
0.097,0.02,0.83,0.60
0.099,0.01,0.82,0.58
0.103,0.02,0.82,0.59
0.111,0.03,0.82,0.60
0.113,0.03,0.82,0.59
0.118,0.02,0.81,0.59
0.128,0.01,0.81,0.60
0.128,0.02,0.80,0.62
0.133,0.01,0.81,0.61
0.138,0.02,0.81,0.62
0.144,0.02,0.81,0.62
0.149,0.03,0.81,0.60
0.153,0.03,0.81,0.62
0.189,0.04,0.81,0.61
0.190,0.04,0.80,0.62
0.191,0.04,0.81,0.62
0.191,0.04,0.80,0.61
0.192,0.05,0.80,0.61
0.192,0.05,0.81,0.60
0.193,0.06,0.81,0.61
0.193,0.05,0.80,0.60
0.197,0.04,0.81,0.61
0.202,0.04,0.81,0.61
0.211,0.03,0.80,0.61
0.212,0.03,0.81,0.58
0.218,0.02,0.81,0.59
0.222,0.03,0.82,0.59
0.228,0.03,0.81,0.59
0.232,0.04,0.81,0.58
0.237,0.04,0.80,0.58
0.245,0.04,0.81,0.60
0.247,0.05,0.81,0.59
0.253,0.05,0.81,0.61
0.300,0.06,0.80,0.59
0.300,0.05,0.80,0.60
0.301,0.04,0.81,0.58
0.302,0.04,0.81,0.56
0.302,0.04,0.81,0.59
0.303,0.03,0.80,0.58
0.303,0.03,0.80,0.60
0.304,0.03,0.80,0.60
0.304,0.02,0.80,0.58
0.305,0.03,0.81,0.59
0.307,0.03,0.81,0.59
0.313,0.03,0.82,0.60
0.317,0.04,0.80,0.62
0.321,0.01,0.80,0.62
0.327,0.03,0.80,0.60
0.332,0.03,0.79,0.59
0.337,0.04,0.79,0.61
0.343,0.05,0.80,0.58
0.347,0.06,0.79,0.60
0.352,0.04,0.79,0.62
0.390,0.02,0.80,0.62
0.391,0.01,0.79,0.62
0.392,-0.01,0.81,0.65
0.392,-0.01,0.80,0.63
0.393,-0.01,0.80,0.65
0.393,-0.01,0.80,0.65
0.394,-0.01,0.80,0.63
0.395,-0.01,0.81,0.62
0.396,0.02,0.81,0.62
0.401,0.02,0.81,0.63
0.410,0.03,0.81,0.65
0.411,0.02,0.82,0.65
0.416,0.01,0.82,0.66
0.420,-0.00,0.82,0.64
0.427,-0.02,0.81,0.66
0.430,-0.01,0.81,0.65
0.436,-0.01,0.81,0.64
0.443,-0.02,0.81,0.63
0.445,-0.01,0.82,0.61
0.450,-0.02,0.82,0.62
0.455,-0.02,0.82,0.62
0.490,-0.02,0.83,0.63
0.491,-0.01,0.81,0.63
0.491,-0.02,0.82,0.62
0.492,-0.01,0.81,0.62
0.492,-0.01,0.81,0.63
0.493,0.02,0.80,0.64
0.493,0.03,0.82,0.64
0.494,0.02,0.82,0.63
0.539,0.03,0.82,0.64
0.539,0.05,0.82,0.65
0.540,0.05,0.81,0.64
0.540,0.05,0.81,0.64
0.541,0.04,0.81,0.63
0.541,0.03,0.81,0.62
0.542,0.02,0.81,0.64
0.542,0.01,0.81,0.65
0.543,0.01,0.81,0.64
0.543,0.02,0.80,0.62
0.557,0.03,0.81,0.64
0.559,0.04,0.80,0.63
0.560,0.04,0.81,0.64
0.564,0.04,0.81,0.65
0.569,0.04,0.80,0.62
0.579,0.03,0.80,0.63
0.580,0.02,0.80,0.62
0.583,0.02,0.81,0.62
0.588,-0.00,0.81,0.61
0.630,-0.00,0.80,0.62
0.631,-0.00,0.81,0.63
0.631,0.01,0.81,0.63
0.632,0.02,0.80,0.63
0.632,0.03,0.80,0.64
0.633,0.05,0.80,0.62
0.633,0.06,0.79,0.61
0.634,0.07,0.80,0.62
0.634,0.07,0.81,0.58
0.637,0.08,0.81,0.58
0.643,0.06,0.82,0.56
0.647,0.05,0.82,0.58
0.652,0.04,0.82,0.57
0.684,0.02,0.81,0.58
0.684,0.02,0.80,0.58
0.685,0.02,0.80,0.58
