time,x,y,z
0.001,0.09,0.90,0.52
0.004,0.07,0.90,0.54
0.010,0.07,0.89,0.53
0.014,0.07,0.90,0.52
0.019,0.08,0.91,0.48
0.028,0.08,0.92,0.49
0.029,0.09,0.91,0.45
0.034,0.09,0.92,0.44
0.042,0.08,0.91,0.41
0.044,0.08,0.92,0.40
0.049,0.07,0.91,0.40
0.054,0.10,0.92,0.39
0.092,0.09,0.91,0.38
0.093,0.09,0.90,0.38
0.093,0.07,0.90,0.41
0.094,0.07,0.92,0.42
0.094,0.07,0.91,0.47
0.095,0.08,0.91,0.49
0.095,0.09,0.91,0.52
0.096,0.08,0.91,0.55
0.098,0.10,0.90,0.53
0.103,0.10,0.90,0.55
0.109,0.10,0.90,0.54
0.113,0.12,0.90,0.57
0.118,0.12,0.88,0.53
0.129,0.12,0.88,0.54
0.130,0.11,0.90,0.53
0.133,0.10,0.90,0.53
0.138,0.10,0.91,0.51
0.143,0.08,0.91,0.51
0.148,0.07,0.90,0.50
0.152,0.07,0.91,0.49
0.199,0.05,0.91,0.51
0.199,0.04,0.91,0.53
0.200,0.02,0.92,0.55
0.200,-0.00,0.92,0.56
0.201,-0.03,0.93,0.62
0.201,-0.04,0.93,0.64
0.202,-0.05,0.94,0.67
0.202,-0.04,0.95,0.69
0.203,-0.04,0.95,0.70
0.203,-0.04,0.95,0.72
0.209,-0.03,0.95,0.72
0.212,-0.05,0.92,0.72
0.217,-0.04,0.92,0.72
0.226,-0.07,0.89,0.72
0.227,-0.09,0.89,0.70
0.232,-0.13,0.90,0.69
0.237,-0.18,0.92,0.69
0.242,-0.24,0.94,0.67
0.247,-0.29,0.96,0.66
0.253,-0.33,0.96,0.62
0.293,-0.37,0.99,0.60
0.294,-0.37,0.99,0.59
0.294,-0.39,0.98,0.62
0.295,-0.40,0.98,0.64
0.295,-0.40,0.99,0.63
0.296,-0.40,0.98,0.68
0.296,-0.42,0.98,0.71
0.297,-0.39,0.98,0.79
0.297,-0.45,0.95,0.83
0.301,-0.53,0.96,0.87
0.309,-0.59,0.95,0.87
0.311,-0.62,0.94,0.89
0.316,-0.63,0.91,0.90
0.321,-0.64,0.89,0.90
0.328,-0.66,0.88,0.91
0.331,-0.66,0.87,0.94
0.336,-0.66,0.88,0.97
0.343,-0.66,0.88,0.96
0.346,-0.65,0.88,0.96
0.351,-0.64,0.88,0.95
0.392,-0.62,0.88,0.96
0.392,-0.58,0.90,0.96
0.393,-0.54,0.88,0.98
0.393,-0.53,0.88,0.95
0.394,-0.47,0.87,0.96
0.395,-0.43,0.87,0.96
0.398,-0.41,0.83,0.94
0.399,-0.41,0.81,0.88
0.400,-0.38,0.83,0.86
0.439,-0.37,0.83,0.86
0.439,-0.35,0.80,0.82
0.440,-0.36,0.78,0.79
0.440,-0.36,0.77,0.76
0.441,-0.38,0.75,0.74
0.441,-0.39,0.74,0.75
0.442,-0.40,0.71,0.73
0.443,-0.42,0.70,0.72
0.444,-0.41,0.67,0.70
0.444,-0.39,0.66,0.70
0.452,-0.36,0.62,0.72
0.454,-0.34,0.60,0.75
0.462,-0.32,0.58,0.80
0.464,-0.31,0.56,0.83
0.469,-0.30,0.53,0.87
0.506,-0.26,0.50,0.92
0.507,-0.22,0.47,0.93
0.507,-0.18,0.44,0.91
0.508,-0.13,0.42,0.90
0.508,-0.07,0.42,0.89
0.509,-0.01,0.42,0.85
0.509,0.04,0.42,0.82
0.510,0.08,0.41,0.78
0.514,0.10,0.38,0.76
0.519,0.12,0.36,0.72
0.526,0.12,0.34,0.70
0.529,0.14,0.34,0.65
0.534,0.12,0.36,0.61
0.543,0.10,0.38,0.62
0.544,0.13,0.38,0.63
0.548,0.17,0.37,0.66
0.553,0.22,0.36,0.72
0.584,0.25,0.33,0.75
0.584,0.30,0.34,0.81
0.585,0.34,0.32,0.82
0.585,0.38,0.29,0.85
0.586,0.44,0.27,0.88
0.587,0.51,0.28,0.90
0.587,0.57,0.30,0.89
0.594,0.63,0.31,0.82
0.598,0.69,0.31,0.79
0.603,0.77,0.33,0.77
0.616,0.86,0.36,0.82
0.617,0.95,0.40,0.80
0.618,1.03,0.43,0.77
0.625,1.10,0.45,0.75
0.627,1.13,0.47,0.72
0.632,1.18,0.49,0.68
0.637,1.20,0.52,0.64
0.642,1.21,0.55,0.63
0.648,1.23,0.58,0.58
0.652,1.25,0.61,0.57
0.685,1.26,0.63,0.54
0.686,1.26,0.64,0.56
0.686,1.24,0.65,0.53
0.687,1.21,0.68,0.51
0.688,1.19,0.70,0.52
0.688,1.16,0.72,0.50
0.689,1.14,0.70,0.50
0.696,1.12,0.69,0.49
0.697,1.11,0.67,0.47
0.702,1.10,0.68,0.48
0.709,1.10,0.69,0.45
0.711,1.10,0.69,0.45
0.716,1.12,0.67,0.41
0.725,1.14,0.68,0.38
0.726,1.13,0.72,0.37
0.731,1.12,0.73,0.33
0.736,1.10,0.74,0.32
0.746,1.10,0.74,0.28
0.746,1.10,0.74,0.27
0.751,1.08,0.76,0.28
0.789,1.06,0.78,0.32
0.790,1.05,0.78,0.37
0.790,1.03,0.80,0.41
0.791,1.02,0.81,0.48
0.791,1.01,0.83,0.51
0.792,1.00,0.85,0.53
0.792,0.99,0.86,0.54
0.793,0.99,0.88,0.56
0.795,0.99,0.91,0.57
0.800,1.00,0.93,0.55
0.811,1.01,0.95,0.53
0.811,1.02,0.97,0.53
0.815,1.03,0.99,0.53
0.820,1.04,1.02,0.52
0.826,1.04,1.02,0.51
0.830,1.05,1.03,0.50
0.834,1.07,1.04,0.50
0.842,1.10,1.05,0.52
0.845,1.13,1.08,0.56
0.849,1.15,1.09,0.57
0.886,1.16,1.09,0.60
0.887,1.16,1.10,0.61
0.888,1.15,1.09,0.62
0.888,1.15,1.09,0.62
0.889,1.15,1.08,0.63
