time,x,y,z
0.003,0.11,0.85,0.55
0.008,0.10,0.84,0.59
0.017,0.09,0.85,0.63
0.018,0.11,0.85,0.67
0.023,0.15,0.85,0.71
0.033,0.16,0.84,0.72
0.033,0.16,0.83,0.73
0.038,0.14,0.83,0.71
0.044,0.12,0.83,0.68
0.050,0.10,0.84,0.63
0.053,0.09,0.83,0.61
0.059,0.08,0.83,0.57
0.096,0.07,0.84,0.57
0.097,0.07,0.85,0.55
0.097,0.06,0.85,0.54
0.098,0.07,0.84,0.57
0.098,0.06,0.85,0.59
0.099,0.07,0.84,0.61
0.099,0.06,0.84,0.60
0.100,0.06,0.84,0.62
0.102,0.06,0.84,0.61
0.106,0.07,0.84,0.59
0.116,0.08,0.84,0.57
0.117,0.09,0.83,0.57
0.122,0.10,0.84,0.55
0.127,0.10,0.84,0.54
0.133,0.10,0.84,0.54
0.136,0.10,0.84,0.54
0.141,0.09,0.83,0.55
0.148,0.09,0.83,0.57
0.151,0.09,0.83,0.59
0.156,0.09,0.83,0.61
0.195,0.09,0.82,0.61
0.196,0.09,0.82,0.62
0.196,0.09,0.82,0.61
0.197,0.09,0.83,0.61
0.197,0.09,0.84,0.59
0.198,0.09,0.84,0.57
0.198,0.09,0.83,0.61
0.199,0.09,0.83,0.60
0.201,0.09,0.83,0.60
0.206,0.09,0.82,0.59
0.210,0.10,0.82,0.59
0.217,0.09,0.82,0.58
0.220,0.08,0.83,0.57
0.225,0.07,0.82,0.56
0.232,0.05,0.83,0.55
0.235,0.05,0.83,0.55
0.240,0.04,0.84,0.56
0.267,0.04,0.84,0.54
0.268,0.02,0.84,0.57
0.268,0.01,0.85,0.57
0.269,0.01,0.85,0.58
0.270,-0.00,0.83,0.58
0.270,0.00,0.82,0.64
0.275,0.00,0.81,0.65
0.311,-0.01,0.81,0.68
0.312,-0.02,0.81,0.71
0.313,-0.03,0.81,0.71
0.313,-0.05,0.82,0.71
0.314,-0.07,0.82,0.70
0.314,-0.09,0.81,0.72
0.315,-0.10,0.81,0.70
0.315,-0.11,0.81,0.68
0.320,-0.12,0.81,0.69
0.324,-0.13,0.82,0.67
0.333,-0.15,0.83,0.66
0.334,-0.16,0.84,0.68
0.339,-0.20,0.85,0.65
0.350,-0.22,0.85,0.66
0.350,-0.27,0.84,0.67
0.354,-0.30,0.82,0.70
0.359,-0.34,0.84,0.69
0.392,-0.37,0.87,0.73
0.392,-0.39,0.87,0.76
