time,x,y,z
0.988,1.03,1.16,0.57
0.989,1.04,1.16,0.59
0.990,1.04,1.18,0.58
0.990,1.04,1.17,0.57
0.991,1.03,1.17,0.59
0.991,1.03,1.18,0.59
0.992,1.02,1.18,0.59
0.997,1.03,1.18,0.60
1.002,1.00,1.19,0.60
1.012,1.01,1.20,0.58
1.012,1.02,1.19,0.57
1.016,1.01,1.18,0.58
1.022,1.04,1.19,0.57
1.026,1.04,1.20,0.59
1.032,1.06,1.20,0.61
1.037,1.04,1.19,0.61
1.078,1.04,1.17,0.62
1.079,1.03,1.16,0.63
1.080,0.99,1.14,0.66
1.080,0.97,1.14,0.67
1.081,0.94,1.12,0.67
1.116,0.90,1.11,0.69
1.117,0.90,1.10,0.69
1.117,0.85,1.08,0.69
1.118,0.83,1.07,0.68
1.118,0.82,1.06,0.66
1.119,0.82,1.04,0.63
1.121,0.83,1.04,0.61
1.123,0.84,1.05,0.56
1.125,0.83,1.05,0.54
1.125,0.83,1.04,0.52
1.126,0.82,1.04,0.51
1.126,0.81,1.03,0.51
1.127,0.78,1.01,0.50
1.139,0.79,1.00,0.52
1.140,0.79,0.99,0.50
1.140,0.76,0.98,0.49
1.145,0.75,0.96,0.48
1.150,0.74,0.95,0.47
1.155,0.73,0.92,0.47
1.164,0.71,0.91,0.46
1.165,0.69,0.88,0.44
1.170,0.68,0.88,0.43
1.214,0.65,0.86,0.39
1.215,0.61,0.85,0.34
1.216,0.61,0.83,0.35
1.216,0.61,0.82,0.32
1.217,0.61,0.81,0.31
1.218,0.60,0.80,0.30
1.219,0.59,0.80,0.31
1.219,0.58,0.80,0.33
1.220,0.57,0.80,0.36
1.221,0.56,0.79,0.36
1.228,0.53,0.77,0.38
1.230,0.51,0.74,0.40
1.234,0.48,0.74,0.44
1.287,0.46,0.74,0.44
1.287,0.42,0.74,0.44
1.290,0.38,0.72,0.46
1.290,0.34,0.72,0.49
1.291,0.29,0.71,0.47
1.291,0.26,0.70,0.48
1.292,0.24,0.68,0.45
1.293,0.21,0.68,0.42
1.293,0.19,0.66,0.37
1.294,0.19,0.65,0.34
1.295,0.20,0.67,0.26
1.295,0.21,0.69,0.21
1.302,0.22,0.68,0.15
1.303,0.23,0.68,0.14
1.310,0.25,0.69,0.14
1.313,0.28,0.68,0.16
1.318,0.28,0.69,0.21
1.326,0.29,0.69,0.25
1.328,0.28,0.69,0.29
1.333,0.25,0.67,0.34
1.337,0.21,0.67,0.34
1.381,0.16,0.68,0.37
1.382,0.14,0.66,0.37
1.383,0.10,0.66,0.37
1.383,0.04,0.64,0.40
1.384,0.02,0.65,0.38
1.384,0.01,0.66,0.38
1.385,-0.01,0.66,0.40
1.385,-0.02,0.68,0.40
1.386,-0.03,0.67,0.39
1.387,-0.04,0.68,0.39
1.397,-0.06,0.67,0.36
1.398,-0.07,0.69,0.32
1.402,-0.08,0.69,0.29
1.410,-0.09,0.70,0.26
1.412,-0.09,0.71,0.23
1.417,-0.10,0.73,0.18
1.427,-0.10,0.74,0.15
1.428,-0.09,0.74,0.14
1.432,-0.08,0.76,0.14
1.437,-0.08,0.77,0.18
1.482,-0.09,0.78,0.21
1.482,-0.10,0.77,0.29
1.483,-0.12,0.78,0.33
1.483,-0.17,0.79,0.38
1.484,-0.19,0.78,0.43
1.484,-0.23,0.79,0.46
1.485,-0.26,0.78,0.47
1.485,-0.31,0.79,0.46
1.486,-0.34,0.79,0.46
1.486,-0.36,0.78,0.44
1.493,-0.39,0.78,0.42
1.496,-0.41,0.78,0.42
1.501,-0.43,0.79,0.41
1.509,-0.44,0.79,0.41
1.515,-0.45,0.79,0.40
1.518,-0.46,0.80,0.38
1.521,-0.46,0.80,0.34
1.526,-0.47,0.81,0.31
1.531,-0.46,0.82,0.30
1.535,-0.46,0.81,0.29
1.588,-0.47,0.82,0.32
1.590,-0.47,0.82,0.35
1.590,-0.48,0.82,0.40
1.591,-0.51,0.81,0.39
1.596,-0.51,0.83,0.43
1.596,-0.52,0.82,0.41
1.597,-0.54,0.83,0.40
1.597,-0.55,0.83,0.41
1.598,-0.56,0.83,0.37
1.599,-0.56,0.84,0.38
1.599,-0.55,0.85,0.35
1.600,-0.56,0.86,0.34
1.600,-0.56,0.86,0.31
1.612,-0.54,0.86,0.28
1.613,-0.53,0.87,0.27
1.616,-0.51,0.87,0.26
1.620,-0.50,0.88,0.25
1.626,-0.49,0.88,0.24
1.630,-0.49,0.87,0.23
1.634,-0.50,0.88,0.24
1.674,-0.50,0.86,0.24
1.675,-0.52,0.87,0.26
1.675,-0.54,0.87,0.24
1.676,-0.56,0.87,0.24
1.676,-0.58,0.86,0.25
1.677,-0.59,0.85,0.25
1.677,-0.60,0.86,0.24
1.678,-0.62,0.85,0.24
1.679,-0.61,0.86,0.24
1.684,-0.62,0.85,0.25
1.692,-0.63,0.85,0.23
1.694,-0.63,0.86,0.24
1.699,-0.63,0.88,0.21
1.703,-0.61,0.89,0.21
1.710,-0.60,0.90,0.21
1.714,-0.58,0.91,0.23
1.718,-0.56,0.93,0.21
1.726,-0.53,0.94,0.21
1.728,-0.51,0.96,0.20
1.733,-0.50,0.97,0.20
1.774,-0.48,0.99,0.21
1.775,-0.47,0.99,0.22
1.775,-0.45,1.01,0.22
1.776,-0.45,1.03,0.22
1.776,-0.43,1.02,0.21
1.777,-0.43,1.04,0.20
1.777,-0.44,1.05,0.21
1.778,-0.44,1.06,0.20
1.778,-0.45,1.07,0.20
1.782,-0.45,1.07,0.23
1.792,-0.45,1.07,0.23
1.793,-0.45,1.08,0.24
1.800,-0.46,1.08,0.27
1.803,-0.45,1.08,0.29
1.809,-0.45,1.07,0.31
1.812,-0.45,1.07,0.33
1.817,-0.44,1.07,0.35
1.828,-0.43,1.07,0.33
1.829,-0.39,1.07,0.35
1.832,-0.39,1.05,0.32
1.837,-0.36,1.05,0.29
1.845,-0.33,1.06,0.29
1.846,-0.31,1.06,0.26
1.853,-0.29,1.07,0.24
1.899,-0.25,1.08,0.23
1.900,-0.22,1.07,0.22
1.900,-0.18,1.07,0.18
1.901,-0.16,1.09,0.16
1.902,-0.12,1.10,0.16
1.902,-0.10,1.10,0.17
1.903,-0.09,1.10,0.17
1.903,-0.08,1.08,0.18
1.904,-0.07,1.08,0.19
1.904,-0.07,1.07,0.21
1.911,-0.06,1.07,0.24
1.912,-0.07,1.05,0.25
1.916,-0.07,1.03,0.26
1.926,-0.07,1.05,0.25
1.926,-0.07,1.03,0.24
1.931,-0.06,1.02,0.23
1.937,-0.04,1.01,0.21
1.943,-0.02,1.01,0.19
1.946,0.01,1.02,0.21
1.951,0.03,1.02,0.22
1.999,0.07,1.01,0.22
2.000,0.11,1.01,0.24
2.001,0.14,1.02,0.22
