time,x,y,z
0.002,0.02,0.81,0.54
0.006,0.03,0.82,0.56
0.011,0.04,0.83,0.57
0.018,0.02,0.84,0.59
0.021,0.03,0.85,0.58
0.027,0.04,0.85,0.61
0.036,0.04,0.86,0.60
0.036,0.04,0.86,0.60
0.041,0.03,0.86,0.60
0.046,0.02,0.87,0.61
0.086,0.01,0.87,0.61
0.087,-0.01,0.88,0.62
0.087,-0.02,0.87,0.61
0.088,-0.01,0.87,0.60
0.088,-0.01,0.85,0.62
0.089,0.00,0.85,0.61
0.089,0.02,0.85,0.62
0.090,0.00,0.85,0.61
0.091,0.00,0.83,0.59
0.096,-0.02,0.84,0.59
0.101,-0.01,0.85,0.55
0.105,-0.02,0.86,0.53
0.110,-0.03,0.86,0.54
0.117,-0.03,0.85,0.56
0.120,-0.03,0.86,0.57
0.125,-0.02,0.86,0.60
0.134,-0.04,0.87,0.61
0.135,-0.04,0.89,0.62
0.140,-0.07,0.87,0.66
0.145,-0.09,0.87,0.70
0.179,-0.11,0.88,0.72
0.180,-0.15,0.88,0.73
0.180,-0.17,0.88,0.72
0.181,-0.18,0.88,0.72
0.182,-0.18,0.87,0.71
0.182,-0.19,0.87,0.68
0.183,-0.20,0.86,0.68
0.184,-0.22,0.86,0.69
0.189,-0.26,0.86,0.65
0.194,-0.27,0.85,0.63
0.200,-0.30,0.84,0.61
0.204,-0.32,0.79,0.59
0.210,-0.37,0.81,0.58
0.217,-0.42,0.83,0.59
0.219,-0.44,0.88,0.59
0.224,-0.45,0.91,0.56
0.229,-0.43,0.89,0.59
0.235,-0.48,0.90,0.62
0.238,-0.53,0.90,0.65
0.244,-0.59,0.89,0.66
0.279,-0.63,0.88,0.74
0.279,-0.67,0.86,0.82
0.280,-0.67,0.84,0.89
0.281,-0.66,0.81,0.92
0.281,-0.64,0.79,0.94
0.282,-0.60,0.77,0.96
0.282,-0.59,0.77,1.00
0.283,-0.60,0.77,1.01
0.289,-0.63,0.79,1.02
0.294,-0.63,0.79,1.04
0.301,-0.64,0.78,1.03
0.303,-0.65,0.78,1.02
0.308,-0.65,0.77,1.01
0.317,-0.66,0.78,1.00
0.318,-0.64,0.76,1.00
0.323,-0.63,0.75,0.99
0.328,-0.62,0.75,0.99
0.333,-0.60,0.74,0.97
0.338,-0.56,0.73,0.98
0.343,-0.53,0.75,0.97
0.380,-0.49,0.75,0.98
0.381,-0.44,0.75,0.96
0.382,-0.40,0.75,0.96
0.382,-0.36,0.74,0.92
0.383,-0.34,0.73,0.91
0.383,-0.31,0.72,0.88
0.384,-0.28,0.71,0.88
0.384,-0.28,0.70,0.87
0.387,-0.28,0.68,0.85
0.392,-0.27,0.66,0.83
0.402,-0.28,0.63,0.85
0.403,-0.29,0.60,0.85
0.407,-0.30,0.58,0.86
0.412,-0.32,0.56,0.86
0.418,-0.31,0.53,0.86
0.423,-0.32,0.51,0.88
0.427,-0.33,0.52,0.87
0.434,-0.33,0.51,0.87
0.437,-0.31,0.49,0.87
0.442,-0.26,0.43,0.88
0.487,-0.19,0.41,0.89
0.487,-0.12,0.43,0.86
0.488,-0.07,0.46,0.84
0.488,-0.01,0.49,0.87
0.489,0.06,0.46,0.89
0.489,0.09,0.42,0.91
0.490,0.13,0.38,0.91
0.490,0.19,0.36,0.90
0.491,0.22,0.37,0.89
0.491,0.26,0.38,0.85
0.501,0.30,0.38,0.81
0.502,0.33,0.40,0.78
0.506,0.35,0.41,0.73
0.511,0.37,0.42,0.74
0.516,0.40,0.44,0.74
0.521,0.39,0.44,0.76
0.526,0.40,0.45,0.78
0.533,0.37,0.47,0.78
0.535,0.41,0.47,0.79
0.541,0.44,0.46,0.79
0.550,0.47,0.47,0.83
0.550,0.51,0.48,0.82
0.556,0.55,0.50,0.81
0.560,0.58,0.50,0.81
0.603,0.63,0.52,0.81
0.604,0.70,0.55,0.80
0.605,0.74,0.55,0.80
0.605,0.78,0.58,0.76
0.606,0.83,0.57,0.77
0.606,0.89,0.60,0.74
0.607,0.91,0.60,0.74
0.607,0.91,0.60,0.71
0.607,0.91,0.61,0.70
0.609,0.88,0.62,0.66
0.616,0.86,0.64,0.63
0.620,0.87,0.65,0.63
0.624,0.86,0.67,0.61
0.639,0.87,0.67,0.61
0.640,0.90,0.70,0.58
0.669,0.90,0.71,0.58
0.670,0.92,0.71,0.59
0.670,0.95,0.73,0.58
0.671,0.97,0.75,0.58
0.671,1.00,0.75,0.57
0.672,1.03,0.76,0.54
0.672,1.04,0.77,0.51
0.674,1.04,0.78,0.48
0.683,1.02,0.78,0.44
0.684,1.02,0.80,0.42
0.689,1.00,0.82,0.42
0.693,0.98,0.84,0.41
0.736,0.97,0.83,0.44
0.737,0.99,0.79,0.48
0.737,0.96,0.82,0.44
0.738,0.94,0.85,0.43
0.738,0.93,0.88,0.44
0.739,0.93,0.89,0.44
0.739,0.94,0.89,0.45
0.740,0.94,0.89,0.44
0.740,0.96,0.90,0.44
0.743,0.98,0.90,0.44
0.751,1.00,0.92,0.46
0.753,1.00,0.94,0.46
0.758,1.02,0.96,0.45
0.807,1.03,0.96,0.45
0.808,1.04,0.97,0.43
0.808,1.04,0.97,0.43
0.809,1.04,0.97,0.44
0.809,1.04,0.98,0.40
0.810,1.04,0.99,0.41
0.810,1.05,0.99,0.43
0.810,1.06,0.99,0.44
0.811,1.05,1.00,0.46
0.812,1.06,1.02,0.47
0.812,1.05,1.03,0.47
0.819,1.06,1.03,0.48
0.822,1.05,1.04,0.50
0.827,1.04,1.05,0.50
0.833,1.03,1.04,0.54
0.837,1.02,1.03,0.55
0.842,1.00,1.02,0.58
0.881,0.97,1.01,0.58
0.882,0.95,1.02,0.59
0.882,0.92,1.01,0.59
0.883,0.91,1.01,0.62
0.883,0.90,1.00,0.61
0.884,0.89,1.00,0.60
0.884,0.88,1.00,0.61
0.885,0.87,1.00,0.62
0.886,0.87,1.00,0.62
0.891,0.87,1.01,0.65
0.902,0.85,1.01,0.64
0.902,0.85,1.01,0.66
0.906,0.84,1.01,0.68
0.911,0.82,1.00,0.68
0.917,0.82,1.00,0.67
0.921,0.80,0.99,0.66
0.926,0.78,0.99,0.67
0.933,0.77,0.99,0.65
0.935,0.76,1.01,0.65
0.940,0.76,1.01,0.66
0.950,0.75,1.02,0.64
0.950,0.77,1.02,0.67
0.955,0.77,1.02,0.66
0.960,0.78,1.00,0.64
0.995,0.80,1.00,0.62
0.996,0.79,1.00,0.62
0.996,0.78,0.99,0.57
0.997,0.75,0.97,0.59
0.997,0.74,0.98,0.58
0.998,0.70,0.95,0.57
0.998,0.68,0.93,0.59
1.000,0.65,0.93,0.60
1.005,0.62,0.93,0.60
1.010,0.60,0.92,0.64
1.016,0.57,0.90,0.66
1.020,0.54,0.89,0.66
1.024,0.51,0.89,0.68
1.033,0.49,0.89,0.69
1.034,0.47,0.89,0.67
1.040,0.45,0.87,0.68
1.044,0.44,0.86,0.68
1.050,0.44,0.86,0.64
1.054,0.45,0.85,0.62
1.059,0.45,0.83,0.60
1.109,0.45,0.84,0.59
1.110,0.46,0.84,0.60
1.110,0.45,0.84,0.58
1.111,0.44,0.85,0.59
1.112,0.45,0.85,0.60
1.112,0.43,0.85,0.64
1.113,0.42,0.83,0.65
1.113,0.41,0.82,0.67
1.114,0.39,0.82,0.68
1.114,0.38,0.81,0.68
1.115,0.36,0.81,0.68
1.119,0.34,0.82,0.68
1.124,0.31,0.80,0.67
1.133,0.31,0.81,0.66
1.161,0.29,0.80,0.64
1.161,0.27,0.79,0.63
1.162,0.27,0.78,0.60
1.162,0.26,0.79,0.58
1.163,0.24,0.78,0.57
1.163,0.22,0.77,0.56
1.164,0.20,0.75,0.56
1.171,0.18,0.73,0.52
1.173,0.14,0.70,0.50
1.209,0.10,0.68,0.46
1.210,0.06,0.67,0.44
1.210,0.00,0.62,0.37
1.211,-0.05,0.59,0.35
1.211,-0.11,0.56,0.32
1.212,-0.15,0.56,0.33
1.212,-0.23,0.53,0.33
1.213,-0.28,0.52,0.35
1.219,-0.32,0.52,0.36
1.222,-0.38,0.52,0.39
1.232,-0.42,0.53,0.41
1.233,-0.45,0.53,0.44
1.237,-0.45,0.53,0.47
1.242,-0.46,0.53,0.52
1.278,-0.45,0.52,0.55
1.278,-0.43,0.52,0.54
1.279,-0.43,0.55,0.56
1.280,-0.43,0.56,0.54
1.280,-0.45,0.56,0.50
1.280,-0.45,0.58,0.49
1.281,-0.48,0.58,0.44
1.281,-0.50,0.60,0.40
1.286,-0.52,0.61,0.36
1.291,-0.54,0.62,0.35
1.298,-0.55,0.63,0.34
1.301,-0.56,0.64,0.34
1.306,-0.54,0.64,0.41
1.315,-0.57,0.66,0.43
1.316,-0.59,0.71,0.42
1.321,-0.59,0.73,0.49
1.326,-0.58,0.73,0.54
1.332,-0.57,0.71,0.55
1.336,-0.58,0.71,0.55
1.341,-0.58,0.72,0.58
1.348,-0.59,0.74,0.57
1.351,-0.61,0.75,0.56
1.356,-0.61,0.76,0.56
1.414,-0.62,0.77,0.53
1.414,-0.62,0.78,0.51
1.415,-0.64,0.79,0.49
1.415,-0.66,0.78,0.47
1.416,-0.68,0.79,0.45
1.416,-0.70,0.80,0.43
1.417,-0.72,0.79,0.38
1.417,-0.71,0.79,0.36
1.418,-0.72,0.80,0.33
1.418,-0.70,0.81,0.29
1.418,-0.70,0.83,0.30
1.419,-0.70,0.85,0.30
1.420,-0.68,0.84,0.29
1.425,-0.67,0.85,0.28
1.432,-0.66,0.85,0.28
1.435,-0.65,0.84,0.27
1.445,-0.62,0.83,0.30
1.445,-0.63,0.84,0.26
1.451,-0.65,0.86,0.24
1.455,-0.65,0.88,0.24
1.459,-0.66,0.89,0.24
1.494,-0.65,0.90,0.23
1.495,-0.65,0.89,0.23
1.495,-0.65,0.89,0.24
1.496,-0.65,0.89,0.23
1.496,-0.64,0.89,0.22
1.497,-0.63,0.89,0.20
1.497,-0.63,0.90,0.21
1.499,-0.62,0.91,0.19
1.504,-0.60,0.92,0.18
1.509,-0.59,0.92,0.20
1.516,-0.57,0.92,0.19
1.519,-0.56,0.92,0.19
1.524,-0.56,0.93,0.19
1.532,-0.56,0.93,0.20
1.534,-0.55,0.93,0.18
1.538,-0.55,0.93,0.17
1.543,-0.54,0.93,0.18
1.549,-0.52,0.94,0.17
1.553,-0.53,0.96,0.17
1.558,-0.51,0.96,0.14
1.594,-0.51,0.98,0.17
1.594,-0.48,0.97,0.17
1.595,-0.46,0.99,0.17
1.595,-0.45,1.00,0.17
1.596,-0.44,1.01,0.16
1.596,-0.42,1.01,0.18
1.597,-0.41,1.02,0.17
1.598,-0.40,1.03,0.17
1.603,-0.36,1.04,0.17
1.608,-0.32,1.04,0.18
1.615,-0.30,1.05,0.19
1.618,-0.30,1.06,0.23
1.622,-0.29,1.07,0.23
1.633,-0.29,1.06,0.22
1.633,-0.29,1.06,0.22
1.637,-0.29,1.04,0.20
1.643,-0.28,1.05,0.19
1.649,-0.27,1.04,0.15
1.652,-0.27,1.06,0.17
1.657,-0.26,1.06,0.16
1.697,-0.23,1.07,0.18
1.698,-0.23,1.06,0.18
1.698,-0.22,1.07,0.18
1.699,-0.21,1.07,0.20
1.699,-0.20,1.07,0.21
1.700,-0.19,1.06,0.23
1.700,-0.19,1.06,0.22
1.701,-0.17,1.06,0.24
1.702,-0.17,1.04,0.24
1.707,-0.17,1.05,0.24
1.715,-0.17,1.05,0.25
1.716,-0.17,1.05,0.24
1.722,-0.16,1.05,0.26
1.731,-0.14,1.03,0.25
1.732,-0.12,1.03,0.26
1.737,-0.11,1.02,0.24
1.742,-0.10,1.01,0.28
1.748,-0.07,1.01,0.25
1.752,-0.06,1.02,0.25
1.757,-0.05,1.02,0.24
1.794,-0.02,1.03,0.25
1.795,-0.02,1.04,0.25
1.796,-0.01,1.04,0.25
1.797,-0.01,1.04,0.25
1.798,-0.01,1.03,0.23
1.799,-0.02,1.04,0.25
1.799,-0.02,1.06,0.24
1.800,-0.01,1.06,0.26
1.801,-0.00,1.05,0.26
1.806,-0.01,1.04,0.28
1.816,0.01,1.04,0.30
1.817,0.01,1.04,0.29
1.821,0.02,1.04,0.29
1.826,0.04,1.03,0.30
1.833,0.06,1.02,0.29
1.835,0.09,1.02,0.28
1.840,0.10,1.03,0.25
1.848,0.13,1.03,0.22
1.850,0.14,1.04,0.20
1.855,0.14,1.04,0.17
1.901,0.15,1.04,0.18
1.901,0.14,1.04,0.17
1.902,0.13,1.04,0.17
1.902,0.10,1.04,0.17
1.903,0.08,1.01,0.15
1.903,0.07,1.03,0.18
1.904,0.06,1.04,0.21
1.904,0.05,1.03,0.21
1.905,0.05,1.01,0.19
1.905,0.06,1.02,0.17
1.909,0.09,1.02,0.15
1.916,0.14,1.01,0.14
1.919,0.17,1.02,0.15
1.924,0.21,1.01,0.15
1.933,0.25,1.03,0.15
1.934,0.28,1.02,0.15
1.939,0.30,1.03,0.16
1.948,0.33,1.04,0.16
1.950,0.35,1.04,0.18
1.954,0.36,1.03,0.20
1.959,0.37,1.03,0.21
1.993,0.37,1.03,0.24
1.994,0.38,1.03,0.27
1.994,0.39,1.03,0.31
1.995,0.41,1.00,0.32
1.995,0.42,1.00,0.34
1.996,0.43,1.00,0.32
1.996,0.43,0.99,0.31
1.998,0.44,0.99,0.29
2.003,0.46,0.99,0.28
2.008,0.46,0.97,0.27
2.014,0.46,0.97,0.25
2.018,0.46,0.97,0.25
2.023,0.47,0.97,0.22
2.031,0.47,0.97,0.24
2.033,0.48,0.98,0.19
2.038,0.48,0.97,0.20
2.043,0.47,0.97,0.20
2.048,0.47,0.96,0.20
2.053,0.47,0.95,0.23
2.057,0.46,0.96,0.23
2.093,0.46,0.95,0.25
2.094,0.45,0.93,0.27
2.094,0.44,0.94,0.26
2.095,0.44,0.94,0.26
2.095,0.43,0.94,0.24
2.096,0.43,0.94,0.21
2.096,0.43,0.94,0.18
2.098,0.44,0.93,0.19
2.103,0.43,0.92,0.18
2.108,0.42,0.93,0.18
2.115,0.41,0.91,0.18
2.117,0.41,0.89,0.18
2.149,0.40,0.89,0.18
2.149,0.39,0.90,0.16
2.150,0.39,0.91,0.14
2.151,0.40,0.90,0.11
2.152,0.41,0.90,0.11
2.152,0.43,0.90,0.10
2.153,0.44,0.91,0.07
