time,x,y,z
0.002,-0.06,0.95,0.28
0.011,-0.05,0.94,0.30
0.012,-0.04,0.93,0.32
0.018,-0.04,0.92,0.32
0.023,-0.04,0.93,0.35
0.056,-0.03,0.92,0.37
0.057,-0.03,0.92,0.36
0.057,-0.03,0.92,0.39
0.058,-0.04,0.91,0.40
0.059,-0.02,0.92,0.44
0.059,-0.03,0.91,0.48
0.060,-0.02,0.91,0.50
0.065,-0.01,0.90,0.51
0.067,0.00,0.90,0.53
0.072,0.01,0.90,0.55
0.078,0.03,0.89,0.54
0.082,0.04,0.90,0.53
0.086,0.06,0.90,0.52
0.095,0.07,0.90,0.50
0.096,0.07,0.90,0.48
0.101,0.06,0.90,0.46
0.108,0.07,0.90,0.45
0.113,0.08,0.90,0.44
0.116,0.07,0.90,0.44
0.121,0.05,0.91,0.43
0.129,0.03,0.91,0.41
0.131,0.02,0.92,0.43
0.136,0.01,0.93,0.43
0.141,-0.01,0.92,0.46
0.176,-0.01,0.92,0.47
0.176,-0.02,0.92,0.49
0.177,-0.04,0.92,0.48
0.177,-0.05,0.92,0.49
0.178,-0.05,0.92,0.51
0.178,-0.07,0.92,0.51
0.179,-0.09,0.90,0.50
0.181,-0.10,0.91,0.51
0.185,-0.11,0.91,0.50
0.196,-0.10,0.91,0.48
0.197,-0.11,0.90,0.47
0.200,-0.11,0.91,0.48
0.205,-0.10,0.91,0.48
0.215,-0.09,0.91,0.48
0.216,-0.08,0.91,0.46
0.220,-0.08,0.93,0.46
0.230,-0.07,0.91,0.44
0.230,-0.07,0.90,0.44
0.235,-0.07,0.89,0.44
0.241,-0.09,0.90,0.46
0.279,-0.12,0.89,0.46
0.280,-0.13,0.90,0.46
0.280,-0.16,0.90,0.47
0.281,-0.16,0.88,0.50
0.282,-0.19,0.87,0.47
0.282,-0.21,0.86,0.49
0.283,-0.26,0.85,0.50
0.284,-0.30,0.85,0.52
0.284,-0.35,0.84,0.51
0.289,-0.39,0.84,0.51
0.295,-0.45,0.83,0.51
