time,x,y,z
0.001,-0.02,0.07,1.05
0.006,-0.02,0.07,1.05
0.016,-0.02,0.07,1.05
0.016,-0.02,0.07,1.05
0.021,-0.02,0.08,1.06
0.031,-0.01,0.08,1.06
0.032,-0.01,0.08,1.06
0.036,-0.01,0.08,1.06
0.040,-0.00,0.08,1.06
0.047,-0.01,0.08,1.06
0.050,-0.02,0.08,1.05
0.056,-0.03,0.08,1.05
0.121,-0.05,0.08,1.05
0.122,-0.06,0.07,1.05
0.124,-0.06,0.07,1.04
0.124,-0.06,0.07,1.03
0.125,-0.06,0.07,1.03
0.127,-0.06,0.07,1.02
0.127,-0.06,0.08,1.02
0.128,-0.05,0.08,1.02
0.129,-0.05,0.08,1.03
0.130,-0.05,0.08,1.03
0.130,-0.05,0.08,1.03
0.131,-0.05,0.07,1.03
0.132,-0.04,0.07,1.04
0.132,-0.05,0.07,1.04
0.133,-0.05,0.07,1.05
0.134,-0.06,0.07,1.05
0.142,-0.06,0.07,1.05
0.144,-0.07,0.06,1.05
0.150,-0.07,0.06,1.05
0.155,-0.07,0.06,1.04
0.165,-0.08,0.06,1.03
0.166,-0.07,0.06,1.02
0.170,-0.08,0.06,1.02
0.174,-0.07,0.06,1.01
0.236,-0.08,0.06,1.01
0.236,-0.07,0.07,1.01
0.237,-0.08,0.07,1.00
0.238,-0.07,0.07,1.00
0.238,-0.07,0.07,1.00
0.239,-0.06,0.08,1.00
0.240,-0.06,0.08,1.00
0.241,-0.06,0.08,1.00
0.242,-0.05,0.08,1.02
0.243,-0.04,0.09,1.04
0.244,-0.04,0.09,1.05
0.244,-0.04,0.09,1.06
0.245,-0.04,0.09,1.06
0.246,-0.04,0.09,1.06
0.255,-0.04,0.09,1.06
0.256,-0.05,0.10,1.05
0.257,-0.05,0.11,1.04
0.312,-0.06,0.11,1.04
0.313,-0.07,0.12,1.03
0.314,-0.07,0.13,1.03
0.315,-0.07,0.14,1.02
0.315,-0.08,0.15,1.01
0.316,-0.08,0.16,1.01
0.317,-0.08,0.18,1.01
0.318,-0.07,0.19,1.01
0.319,-0.07,0.22,1.00
0.319,-0.08,0.24,1.00
0.320,-0.07,0.26,1.00
0.321,-0.07,0.29,1.00
0.322,-0.08,0.32,0.99
0.332,-0.08,0.35,1.00
0.333,-0.08,0.39,1.01
0.338,-0.08,0.42,1.03
0.349,-0.08,0.45,1.05
0.350,-0.09,0.49,1.07
0.351,-0.10,0.53,1.09
0.357,-0.11,0.57,1.12
0.417,-0.11,0.61,1.13
0.418,-0.11,0.65,1.14
0.419,-0.10,0.68,1.14
0.420,-0.08,0.73,1.14
0.420,-0.06,0.77,1.15
0.504,-0.02,0.81,1.16
0.505,0.01,0.85,1.16
0.506,0.03,0.88,1.17
0.509,0.04,0.92,1.18
0.510,0.05,0.94,1.18
0.511,0.04,0.96,1.19
0.512,0.03,0.97,1.19
0.512,0.02,0.97,1.19
0.513,0.01,0.96,1.18
0.514,0.00,0.95,1.19
0.515,-0.00,0.92,1.19
