time,x,y,z
0.002,0.06,0.06,1.04
0.010,0.04,0.06,1.02
0.012,0.05,0.06,1.02
0.017,0.06,0.06,1.07
0.057,0.05,0.06,1.10
0.058,0.05,0.06,1.10
0.058,0.04,0.06,1.09
0.058,0.04,0.06,1.08
0.059,0.03,0.05,1.07
0.059,0.03,0.05,1.07
0.060,0.03,0.05,1.08
0.060,0.03,0.04,1.09
0.062,0.04,0.04,1.10
0.067,0.04,0.04,1.09
0.076,0.04,0.04,1.06
0.077,0.04,0.04,1.04
0.081,0.03,0.05,1.03
0.086,0.02,0.06,1.03
0.123,0.01,0.07,1.03
0.124,0.01,0.07,1.04
0.124,0.02,0.07,1.04
0.125,0.02,0.07,1.04
0.125,0.02,0.07,1.05
0.126,0.03,0.06,1.05
0.126,0.03,0.06,1.04
0.127,0.03,0.06,1.03
0.131,0.03,0.06,1.03
0.136,0.04,0.06,1.03
0.143,0.04,0.06,1.02
0.146,0.03,0.07,1.02
0.151,0.03,0.07,1.02
0.160,0.03,0.07,1.03
0.161,0.04,0.06,1.04
0.166,0.03,0.06,1.05
0.173,0.04,0.06,1.05
0.178,0.04,0.06,1.05
0.180,0.04,0.06,1.07
0.185,0.03,0.05,1.07
0.226,0.03,0.05,1.07
0.226,0.02,0.05,1.06
0.227,0.02,0.05,1.06
0.227,0.02,0.06,1.06
0.227,0.01,0.06,1.07
0.228,0.01,0.06,1.07
0.228,0.01,0.06,1.07
0.229,0.01,0.06,1.07
0.229,0.01,0.06,1.07
0.235,0.00,0.07,1.08
0.244,-0.00,0.08,1.08
0.245,-0.01,0.09,1.08
0.250,-0.01,0.10,1.09
0.256,-0.01,0.10,1.10
0.261,-0.00,0.10,1.11
0.265,0.01,0.10,1.12
0.269,0.01,0.11,1.14
0.276,0.02,0.12,1.16
0.280,0.03,0.13,1.19
0.284,0.04,0.14,1.23
0.323,0.04,0.14,1.29
0.324,0.05,0.14,1.33
0.325,0.04,0.14,1.39
0.325,0.04,0.15,1.44
0.326,0.03,0.15,1.49
0.326,0.03,0.16,1.56
0.327,0.02,0.16,1.62
0.327,0.00,0.14,1.68
0.329,-0.04,0.12,1.70
0.334,-0.08,0.12,1.72
0.344,-0.09,0.14,1.79
0.345,-0.09,0.16,1.85
0.349,-0.17,0.17,1.92
0.354,-0.19,0.17,1.98
0.361,-0.13,0.17,2.00
0.364,-0.06,0.16,2.00
0.369,0.00,0.16,2.00
0.376,0.02,0.17,2.00
0.378,0.04,0.17,2.00
0.383,0.07,0.18,2.00
0.476,0.11,0.18,2.00
0.477,0.12,0.19,2.00
0.477,0.12,0.19,2.00
0.478,0.12,0.18,2.00
0.478,0.12,0.17,2.00
0.478,0.12,0.15,2.00
0.479,0.12,0.13,2.00
0.519,0.12,0.12,2.00
0.520,0.13,0.12,2.00
0.520,0.12,0.12,1.96
0.521,0.12,0.13,1.92
0.522,0.12,0.13,1.90
0.522,0.11,0.13,1.89
0.523,0.11,0.13,1.84
0.523,0.12,0.12,1.81
0.523,0.15,0.11,1.82
0.524,0.19,0.11,1.82
0.524,0.21,0.12,1.81
0.525,0.20,0.13,1.78
0.525,0.18,0.12,1.74
0.526,0.17,0.10,1.72
0.526,0.16,0.07,1.67
0.527,0.15,0.05,1.59
0.527,0.16,0.02,1.52
0.528,0.16,0.01,1.45
0.528,0.17,-0.00,1.38
0.529,0.18,-0.01,1.29
0.529,0.20,-0.01,1.21
0.530,0.22,-0.01,1.13
0.555,0.22,-0.01,1.07
0.556,0.20,-0.01,0.98
0.557,0.17,-0.02,0.89
0.557,0.15,-0.03,0.82
0.558,0.16,-0.03,0.77
0.559,0.20,-0.02,0.72
0.562,0.24,0.00,0.60
0.567,0.26,0.01,0.56
0.615,0.26,0.00,0.51
0.615,0.25,-0.01,0.46
0.616,0.24,-0.02,0.41
0.616,0.25,-0.03,0.37
0.617,0.25,-0.02,0.36
0.617,0.24,0.01,0.33
0.618,0.21,-0.00,0.26
0.618,0.19,-0.01,0.20
0.619,0.19,-0.00,0.15
0.619,0.19,0.02,0.12
0.621,0.17,0.05,0.09
0.652,0.13,0.06,0.05
0.653,0.10,0.05,0.02
0.654,0.05,0.04,-0.02
0.654,0.00,0.02,-0.05
0.655,-0.02,0.02,-0.08
0.655,-0.02,0.03,-0.09
0.656,-0.02,0.06,-0.10
0.660,-0.01,0.09,-0.11
0.666,0.03,0.12,-0.13
0.670,0.07,0.16,-0.12
0.676,0.09,0.21,-0.13
0.680,0.12,0.25,-0.17
0.685,0.12,0.29,-0.23
0.729,0.10,0.32,-0.30
0.730,0.08,0.32,-0.37
0.730,0.07,0.33,-0.43
0.731,0.05,0.34,-0.48
0.732,0.02,0.36,-0.54
0.732,0.01,0.38,-0.58
0.734,0.02,0.39,-0.63
0.734,0.05,0.40,-0.66
0.735,0.05,0.40,-0.68
0.735,0.04,0.42,-0.74
0.745,0.05,0.43,-0.80
0.746,0.06,0.42,-0.86
0.749,0.06,0.41,-0.93
0.754,0.06,0.40,-0.98
0.761,0.05,0.41,-1.04
0.765,0.03,0.41,-1.09
0.769,0.02,0.39,-1.14
0.776,0.01,0.38,-1.20
0.779,0.01,0.38,-1.23
0.784,0.02,0.41,-1.23
0.831,0.03,0.45,-1.23
0.832,0.03,0.49,-1.21
0.833,0.03,0.52,-1.18
0.834,0.02,0.55,-1.15
