time,x,y,z
0.001,0.01,0.10,1.04
0.005,0.02,0.10,1.06
0.051,0.03,0.10,1.07
0.052,0.04,0.10,1.08
0.052,0.03,0.10,1.08
0.053,0.02,0.11,1.06
0.054,0.01,0.11,1.05
0.054,0.01,0.11,1.04
0.055,0.01,0.11,1.04
0.055,0.01,0.11,1.04
0.057,0.01,0.10,1.04
0.058,0.00,0.10,1.04
0.066,-0.00,0.10,1.04
0.067,-0.00,0.10,1.03
0.069,-0.00,0.10,1.02
0.080,0.00,0.10,1.01
0.081,-0.00,0.10,1.00
0.084,-0.00,0.10,1.00
0.089,-0.00,0.11,1.01
0.096,0.00,0.10,1.02
0.099,0.01,0.10,1.01
0.104,0.03,0.11,1.02
0.160,0.04,0.10,1.02
0.161,0.05,0.09,1.03
0.161,0.05,0.09,1.04
0.162,0.05,0.08,1.04
0.162,0.03,0.08,1.04
0.163,0.02,0.08,1.03
0.164,0.01,0.08,1.03
0.164,0.00,0.08,1.02
0.166,-0.00,0.08,1.01
0.166,-0.01,0.08,1.02
0.167,-0.01,0.08,1.02
0.168,-0.01,0.07,1.02
0.168,-0.00,0.08,1.02
0.175,-0.00,0.08,1.01
0.183,0.00,0.09,1.00
0.184,0.01,0.09,1.00
0.188,0.02,0.10,1.01
0.198,0.02,0.10,1.01
0.199,0.02,0.10,1.01
0.203,0.03,0.11,1.00
0.266,0.03,0.11,1.00
0.267,0.04,0.11,0.99
0.268,0.04,0.11,0.99
0.268,0.04,0.11,0.99
0.269,0.05,0.10,1.01
0.269,0.05,0.09,1.01
0.270,0.05,0.08,1.02
0.270,0.04,0.07,1.03
0.271,0.04,0.07,1.04
0.272,0.04,0.08,1.05
0.273,0.04,0.08,1.07
0.273,0.05,0.08,1.08
0.274,0.05,0.08,1.08
0.274,0.04,0.08,1.08
0.282,0.04,0.09,1.08
0.282,0.04,0.10,1.08
0.288,0.04,0.11,1.08
0.300,0.06,0.12,1.09
0.301,0.06,0.11,1.11
0.302,0.07,0.11,1.12
0.307,0.08,0.11,1.14
0.368,0.11,0.10,1.18
0.368,0.13,0.08,1.22
0.369,0.14,0.07,1.26
0.369,0.12,0.07,1.29
0.370,0.08,0.10,1.32
0.371,0.04,0.12,1.35
0.372,0.01,0.14,1.38
0.374,-0.01,0.14,1.41
0.374,-0.03,0.13,1.44
0.375,-0.04,0.13,1.46
0.376,-0.04,0.13,1.50
0.377,-0.04,0.14,1.56
0.377,-0.02,0.18,1.64
0.378,-0.01,0.20,1.70
0.386,0.01,0.23,1.74
0.387,0.03,0.26,1.79
0.397,0.06,0.28,1.85
0.403,0.08,0.28,1.89
0.404,0.08,0.28,1.93
0.407,0.08,0.30,1.96
0.504,0.06,0.33,1.98
0.505,0.06,0.36,2.00
0.507,0.05,0.38,2.00
0.508,0.05,0.40,2.00
0.508,0.07,0.40,1.99
0.509,0.09,0.41,1.98
0.510,0.11,0.42,1.98
0.510,0.14,0.42,1.98
0.511,0.16,0.42,1.98
0.512,0.17,0.41,2.00
0.512,0.18,0.40,2.00
0.513,0.19,0.37,2.00
0.513,0.19,0.35,2.00
0.514,0.18,0.33,2.00
0.515,0.19,0.31,2.00
0.515,0.19,0.29,2.00
0.516,0.20,0.27,1.99
0.517,0.20,0.26,1.94
0.517,0.20,0.24,1.89
0.518,0.21,0.23,1.83
0.518,0.22,0.20,1.81
0.519,0.23,0.18,1.79
0.520,0.23,0.16,1.77
0.530,0.22,0.14,1.76
0.531,0.21,0.12,1.72
0.535,0.20,0.09,1.65
0.540,0.19,0.06,1.64
0.597,0.17,0.03,1.65
0.598,0.15,0.02,1.61
0.598,0.14,0.01,1.55
0.599,0.14,-0.01,1.48
0.600,0.13,-0.03,1.42
0.600,0.12,-0.04,1.36
0.601,0.14,-0.05,1.32
0.602,0.15,-0.05,1.28
0.603,0.16,-0.06,1.25
0.603,0.16,-0.05,1.22
0.604,0.17,-0.05,1.19
0.605,0.18,-0.04,1.15
0.605,0.18,-0.04,1.10
0.613,0.18,-0.03,1.04
0.614,0.19,-0.03,0.98
0.618,0.21,-0.03,0.90
0.687,0.21,-0.03,0.84
0.689,0.20,-0.03,0.77
0.689,0.19,-0.03,0.70
0.690,0.16,-0.02,0.62
0.745,0.15,-0.01,0.55
0.747,0.15,-0.01,0.48
0.747,0.16,-0.02,0.42
0.748,0.16,-0.02,0.36
0.748,0.15,-0.00,0.31
0.749,0.15,0.01,0.26
0.750,0.15,0.01,0.21
0.750,0.14,0.00,0.15
0.751,0.10,0.01,0.10
0.752,0.05,0.03,0.04
0.752,0.02,0.03,-0.01
0.753,0.00,0.04,-0.06
0.754,-0.01,0.06,-0.09
0.754,-0.02,0.08,-0.11
0.755,-0.01,0.09,-0.13
0.755,0.00,0.10,-0.16
0.756,0.03,0.11,-0.18
0.757,0.05,0.14,-0.20
0.758,0.07,0.17,-0.23
0.758,0.08,0.20,-0.25
0.759,0.11,0.24,-0.25
0.759,0.13,0.28,-0.22
0.760,0.15,0.32,-0.20
0.761,0.17,0.35,-0.21
0.761,0.18,0.38,-0.24
0.783,0.18,0.40,-0.30
0.784,0.17,0.42,-0.36
0.784,0.16,0.44,-0.40
0.785,0.14,0.47,-0.44
0.786,0.12,0.49,-0.46
0.851,0.11,0.50,-0.51
0.852,0.10,0.50,-0.56
0.852,0.07,0.50,-0.62
0.853,0.02,0.51,-0.68
0.854,-0.04,0.51,-0.76
0.855,-0.07,0.51,-0.85
0.855,-0.11,0.51,-0.93
0.856,-0.15,0.51,-0.99
0.857,-0.15,0.50,-1.01
0.858,-0.17,0.49,-1.03
0.858,-0.19,0.47,-1.05
0.859,-0.22,0.44,-1.08
0.860,-0.26,0.42,-1.11
