time,x,y,z
1.075,0.01,0.67,-0.77
1.076,-0.02,0.66,-0.74
1.077,-0.05,0.65,-0.69
1.078,-0.07,0.64,-0.64
1.078,-0.10,0.64,-0.58
1.079,-0.10,0.63,-0.52
1.080,-0.09,0.61,-0.47
1.080,-0.09,0.60,-0.43
1.081,-0.09,0.59,-0.41
1.082,-0.09,0.59,-0.39
1.083,-0.07,0.59,-0.40
1.084,-0.05,0.59,-0.40
1.084,-0.03,0.58,-0.40
1.085,-0.01,0.58,-0.40
1.086,0.00,0.57,-0.40
1.087,0.00,0.57,-0.40
1.087,-0.01,0.56,-0.39
1.089,-0.02,0.55,-0.37
1.089,-0.01,0.54,-0.32
1.090,0.02,0.55,-0.29
1.092,0.03,0.55,-0.29
1.092,0.05,0.55,-0.30
1.093,0.04,0.53,-0.29
1.093,0.01,0.52,-0.25
1.094,-0.02,0.52,-0.19
1.094,-0.04,0.54,-0.15
1.095,-0.04,0.54,-0.09
1.095,-0.03,0.53,-0.05
1.101,-0.02,0.52,0.00
1.102,-0.01,0.50,0.04
1.104,0.01,0.47,0.06
1.105,0.04,0.47,0.09
1.105,0.05,0.49,0.11
1.111,0.07,0.50,0.14
1.112,0.09,0.49,0.14
1.113,0.10,0.47,0.12
1.120,0.12,0.44,0.09
1.121,0.14,0.42,0.08
1.132,0.15,0.42,0.08
1.133,0.17,0.42,0.12
1.136,0.18,0.42,0.17
1.137,0.16,0.43,0.23
1.137,0.13,0.43,0.28
1.150,0.08,0.43,0.32
1.151,0.05,0.42,0.34
1.152,0.01,0.40,0.37
1.166,-0.01,0.37,0.42
1.167,-0.02,0.35,0.47
1.168,-0.02,0.32,0.52
1.171,0.00,0.30,0.55
1.221,0.04,0.28,0.58
1.222,0.08,0.28,0.63
1.225,0.13,0.28,0.68
1.225,0.16,0.29,0.71
1.226,0.17,0.29,0.71
1.226,0.18,0.28,0.72
1.227,0.19,0.27,0.76
1.228,0.16,0.31,0.84
1.229,0.14,0.31,0.86
1.229,0.11,0.31,0.87
1.236,0.07,0.29,0.88
1.236,0.04,0.27,0.89
1.237,0.03,0.25,0.91
1.284,0.04,0.24,0.95
1.284,0.04,0.24,0.99
1.285,0.04,0.24,1.03
1.285,0.03,0.23,1.05
1.286,0.03,0.22,1.05
1.286,0.03,0.21,1.10
1.287,0.02,0.21,1.19
1.287,-0.00,0.21,1.27
1.288,-0.02,0.20,1.32
1.288,-0.02,0.18,1.36
1.290,-0.02,0.16,1.40
1.299,-0.02,0.14,1.44
1.300,-0.00,0.14,1.47
